CpG,Importance,Std
cg16703956,0.0018720785710131889,0.03869983677247026
cg12727795,0.0018338617590694583,0.007737596363175035
cg05306745,0.0017636985616072734,0.007013786293651257
cg06282270,0.001683631783190367,0.005431348658736665
cg03702236,0.001679789286834824,0.020037532898702047
cg19915711,0.001545630768012968,0.005309323945368774
cg02032778,0.0015043099203772036,0.005997753206967569
cg06263461,0.0013665206553388478,0.005967632274063753
cg24167314,0.0013422693603247341,0.006187274021597553
cg26010734,0.0013298644995995664,0.004822439005447806
cg08421126,0.0013240153041590827,0.005390504545786017
cg17395064,0.0013073059250978878,0.005905723007781285
cg08924430,0.0012719332708283344,0.005589139674058826
cg22222281,0.001260635112244074,0.004971276216918156
cg16970232,0.0012368154071729386,0.005900001331641977
cg00349607,0.0011942575491997785,0.01969047081348182
cg10266490,0.0011101982533516877,0.020060824696663124
cg00199007,0.0010324889525709859,0.0036979522557865413
cg14619259,0.0009899941203032657,0.004473165322563859
cg01781974,0.0009597360154404349,0.005115389232879576
cg23230584,0.0009186635567643177,0.02060213998518856
cg13605988,0.0009057125173926094,0.02048014019049285
cg23083315,0.0009050815377555135,0.0037649464158239455
cg27494647,0.0009037977974969997,0.0040905966269234335
cg23146663,0.0008903777249131905,0.005108617266067888
cg21784383,0.0008871823307301677,0.004573435908627764
cg00795341,0.000855279149461902,0.004987669733929895
cg05471296,0.0008240543144899467,0.004749541988381417
cg11256607,0.0007895947919261259,0.019365401465088677
cg11861562,0.0007877088383430466,0.01921435871588196
cg16032102,0.0007859900331401285,0.004306865849805859
cg06126713,0.0007836120099647713,0.019463019085772776
cg20427865,0.0007423595290364855,0.019978213485646854
cg10400707,0.0007336744662355338,0.019482972649289804
cg15076145,0.0007326410977736872,0.0032969332043320003
cg08730348,0.0007065954335771938,0.018957743130429174
cg14375499,0.000703703393933848,0.0028965123896099554
cg07330230,0.0006948519683647244,0.020402909973588255
cg03789645,0.0006924589925827218,0.0035196899181303715
cg07834955,0.0006760299915890131,0.020868482093687392
cg01934626,0.0006754007375361586,0.02039791353239746
cg20104456,0.0006644339151618024,0.002940474295222294
cg18344652,0.0006623277049145669,0.003858281771856113
cg20303028,0.0006524167343628746,0.019739653677532568
cg04986616,0.0006436796451077755,0.0026837182390014275
cg13804182,0.0006410518404449338,0.019287958143716213
cg16281276,0.0006147308674998151,0.0037598976689211935
cg25558103,0.000574187086504855,0.0028800052980762665
cg07935264,0.0005636299872911624,0.01938047704977612
cg22212414,0.0005451609398205457,0.0034443048854810986
cg18108623,0.000488227211902898,0.003219477552549352
cg14537533,0.0004722984674223672,0.0022184384877065345
cg18877506,0.0004699700564242681,0.003068044400366647
cg23180938,0.0004639977756977935,0.003721486933027594
cg06274159,0.00044761057049041465,0.0031445295304676915
cg27577527,0.000413437484707622,0.002566086163030614
cg08076018,0.00040714561033245995,0.0021334356632781394
cg12080909,0.0003786512746666244,0.0026494674676620965
cg04518342,0.0003748204404708157,0.00257920048932257
cg14993276,0.0003706119223068669,0.0020730209466981644
cg11659501,0.00036212916372212677,0.002240951973335826
cg11521404,0.0003556084128101298,0.002508015209943127
cg09827752,0.00033814525655004015,0.0027310217806170776
cg00735923,0.0003282158318408564,0.0023419736567557394
cg01508380,0.00032237818343041404,0.0028192987256305878
cg09025324,0.00031142827236972176,0.0022259751786955664
cg18016826,0.0003113670691432847,0.002356557894233939
cg12242450,0.00030863903931273664,0.0022496152598998277
cg21462428,0.00030587701548889334,0.0017068296292509567
cg08135379,0.00029178399972232114,0.0018483581950078589
cg10101773,0.0002912093407743013,0.0019832614228128226
cg24715680,0.0002853558372108546,0.002065554273094103
cg11626007,0.00028347486590519355,0.002224230539838451
cg05687686,0.00028076450613772155,0.002191868418655273
cg14957943,0.00027985864990207136,0.0018986665819939411
cg26307117,0.0002762578642997406,0.0015594230684252493
cg21383810,0.00027625153808921894,0.0017339235084201919
cg13506653,0.00026653323410536357,0.0016271853592895534
cg10959198,0.00026484814011589315,0.0022415562146482822
cg09469554,0.00026049943753181116,0.0017771113555334933
cg14904662,0.00025153658079222764,0.0024817729423039932
cg07145284,0.0002482321100143769,0.0019414242909096824
cg06390484,0.0002452045597003258,0.001856084418420344
cg03430846,0.00024517861550141397,0.002159420936893316
cg06947913,0.000242112399825901,0.0020329806120418133
cg19788741,0.00024184736369733332,0.0017895848471594234
cg23274561,0.00023750089729224176,0.0019460532128554788
cg16425038,0.0002302219636914686,0.0015970735584526982
cg24021956,0.00021233498878369658,0.001550549996348929
cg08668790,0.0002095504031039728,0.0018905672986759385
cg18674980,0.00020221317413737522,0.0017108027656280128
cg22627841,0.00019998584321636443,0.0015202713376980673
cg25078444,0.00018297502794458845,0.001222507988015739
cg18363192,0.00017255776387008605,0.0013116486356458718
cg18525352,0.00017225097469690138,0.0015746610101268332
cg02131967,0.00017189067747187998,0.0013503730264404386
cg11142705,0.0001704496305807176,0.0012781837326517936
cg10765212,0.0001675204771776407,0.0015816030876634152
cg07984133,0.00016551332737621324,0.0014619882816234264
cg06714180,0.00016467053128758942,0.0013840333011980663
cg22777979,0.0001644570332020254,0.001316546196863227
cg19516515,0.00016433525932728726,0.0013639335188837265
cg07589773,0.00016216048656124448,0.0015901446552473947
cg14578894,0.00015775896856676377,0.001402496034317754
cg27252696,0.00015714821967050202,0.0013428737427551639
cg18077971,0.00015610114449645282,0.0014392385436966298
cg06197769,0.00014720394149509098,0.0011158234471404117
cg10708955,0.00014335666429296978,0.001355867072662631
cg10777851,0.00014195241715315627,0.001266270039501722
cg14000361,0.00014139657831705132,0.0013042143748415677
cg22488256,0.00014101001767131087,0.0015177650497467385
cg11095319,0.00014031020861071506,0.0013470680561535105
cg06169131,0.00013969351350266845,0.0012484294129806084
cg03884132,0.00013729939632995373,0.0010917558057369698
cg09350274,0.0001360185683041851,0.0013982541458932725
cg06679087,0.00013530394236176024,0.0013154466372585724
cg14615784,0.00013353576493653138,0.0012236095540603949
cg08351336,0.00013137573775350226,0.001282967683835356
cg19513834,0.00012810243779767192,0.0014068358101018063
cg26371731,0.00011642903081366498,0.00120274167291216
cg26001902,0.00011032390877906396,0.001068717860849584
cg20143092,0.00010593356382193778,0.0010020368642961151
cg17437939,9.958486554912105e-05,0.00109930447557058
cg13215970,9.076455409244216e-05,0.0008839586704980436
cg10748765,8.880280779689293e-05,0.0009279057870385488
cg02029926,8.673078330044057e-05,0.0008785118020347555
cg12781915,8.646162016676675e-05,0.0007974386130003112
cg19349369,8.51792009584471e-05,0.0008707044970563804
cg20640433,7.454180966237735e-05,0.0008353623360836212
