Unnamed: 0,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta
cg04407470,0.41683616,0.547685311,15.94979703,2.02E-47,3.00E-44,96.82294578,0.168334418,0.585170577,0.41683616,6,108489977,R,I,NR2E1,Body,island,Body-island,chr6:108485671-108490539,,TRUE,,,,0.543105463
cg08843517,0.452742099,0.626869579,17.99178091,2.33E-57,2.58E-53,119.6184941,0.214841698,0.667583797,0.452742099,16,88717464,F,I,CYBA,TSS200,island,TSS200-island,chr16:88716989-88717606,,,high-CpG:87244919-87245004,rs72550704,,0.542396344
cg02636041,0.457003552,0.560383307,14.14471887,5.18E-39,1.53E-36,77.54453781,0.144477197,0.601480749,0.457003552,10,43698008,F,II,RASGEF1A,Body,island,Body-island,chr10:43697777-43698177,TRUE,TRUE,,,,0.541214276
cg01532436,0.444313571,0.627370301,16.4553196,7.59E-50,1.89E-46,102.3826299,0.223012986,0.667326557,0.444313571,19,48983942,F,II,CYTH2,3'UTR,island,3'UTR-island,chr19:48983562-48984175,TRUE,TRUE,,,,0.538592092
cg02499249,0.461076705,0.568310676,15.17531068,9.19E-44,6.69E-41,88.43322163,0.148697703,0.609774408,0.461076705,3,25469720,R,II,RARB,TSS200,opensea,TSS200-opensea,,,TRUE,,,,0.537191401
cg19548479,0.442655104,0.526410017,15.02676679,4.54E-43,2.95E-40,86.84337913,0.123562027,0.566217131,0.442655104,17,41363737,R,II,TMEM106A,TSS200,island,TSS200-island,chr17:41363727-41364273,TRUE,,,,,0.536731779
cg03596016,0.453678155,0.641751583,16.74885152,2.89E-51,1.02E-47,105.6382743,0.228871824,0.682549979,0.453678155,1,246952362,R,I,LOC149134,TSS1500,island,TSS1500-island,chr1:246952214-246952511,,TRUE,,,,0.53643014
cg16332610,0.448924064,0.644556976,18.70762821,6.41E-61,1.42E-56,127.791206,0.236003781,0.684927845,0.448924064,15,74658547,F,II,CYP11A1,1stExon,island,1stExon-island,chr15:74658038-74658574,,TRUE,,,,0.536388341
cg16232979,0.447779549,0.55432619,16.05728139,6.19E-48,1.02E-44,97.99982126,0.146814586,0.594594135,0.447779549,19,16187631,F,I,TPM4,Body,island,Body-island,chr19:16186789-16188275,,,high-CpG:16048047-16048853,,,0.536382411
cg15219228,0.42961307,0.564179437,14.89123704,1.94E-42,1.09E-39,85.39857582,0.173200635,0.602813706,0.42961307,6,35479628,F,I,TULP1,Body,island,Body-island,chr6:35479388-35479678,,TRUE,,,,0.533947318
cg16317273,0.442938341,0.596725715,15.30150192,2.36E-44,1.92E-41,89.78888658,0.193619958,0.636558299,0.442938341,5,38258028,F,II,EGFLAM,TSS1500,island,TSS1500-island,chr5:38257825-38259136,,TRUE,,,,0.53357754
cg22260952,0.448151326,0.560729884,16.33324683,2.94E-49,6.54E-46,101.0344681,0.152879937,0.601031263,0.448151326,12,104852446,F,I,CHST11,Body,shore,Body-shore,chr12:104850253-104852395,,,,,,0.532698931
cg13247663,0.410974029,0.624317945,17.27915966,7.54E-54,4.05E-50,111.5667979,0.250302013,0.661276041,0.410974029,8,59058254,R,I,FAM110B,5'UTR,island,5'UTR-island,chr8:59058167-59059414,TRUE,TRUE,high-CpG:59220802-59221031,,,0.53255206
cg20687242,0.434039699,0.581535262,15.27960063,2.98E-44,2.40E-41,89.55327381,0.18652791,0.620567609,0.434039699,12,54653427,F,II,CBX5,TSS200,opensea,TSS200-opensea,,TRUE,,,,,0.532474576
cg12627583,0.438785201,0.552056092,15.4359162,5.50E-45,5.09E-42,91.23788422,0.152729992,0.591515192,0.438785201,2,201450731,R,II,AOX1,1stExon,island,1stExon-island,chr2:201450526-201451027,TRUE,TRUE,,,,0.53241768
cg26654286,0.442770403,0.542524439,15.5782783,1.17E-45,1.23E-42,92.77804597,0.139571518,0.582341921,0.442770403,17,38465510,F,II,RARA,5'UTR,opensea,5'UTR-opensea,,,,,,,0.530988377
cg06126713,0.432175254,0.608194266,14.45837469,1.92E-40,7.45E-38,80.82233386,0.214883692,0.647058947,0.432175254,7,16505617,R,II,SOSTDC1,TSS200,opensea,TSS200-opensea,,,,,,,0.529939612
cg23357130,0.462684751,0.563013054,13.70860811,4.77E-37,9.77E-35,73.04379634,0.141936644,0.604621395,0.462684751,11,3181928,F,I,OSBPL5,5'UTR,island,5'UTR-island,chr11:3181574-3182120,TRUE,TRUE,,,,0.528942553
cg22774088,0.425417612,0.513521122,14.30917512,9.25E-40,3.12E-37,79.25902744,0.12636049,0.551778102,0.425417612,19,2253398,R,I,JSRP1,Body,island,Body-island,chr19:2250560-2253959,,TRUE,,,,0.527540922
cg20118643,0.437301406,0.603430351,14.83126488,3.68E-42,1.97E-39,84.76103318,0.205454611,0.642756017,0.437301406,15,60690852,R,II,ANXA2,TSS1500,island,TSS1500-island,chr15:60690708-60690930,,,,,,0.527310516
cg06426416,0.389213017,0.505983496,11.78586414,9.03E-29,4.59E-27,54.09978781,0.151771649,0.540984666,0.389213017,4,5710403,R,II,EVC2,5'UTR,island,5'UTR-island,chr4:5709985-5710495,TRUE,,,,,0.525780059
cg05415131,0.45067653,0.58088842,18.22735072,1.59E-58,2.39E-54,122.299303,0.170740355,0.621416885,0.45067653,11,58940866,R,I,DTX4,Body,island,Body-island,chr11:58940830-58941052,,,,,,0.525459506
cg20676696,0.431736041,0.544759411,14.54194117,7.95E-41,3.33E-38,81.70114321,0.151848553,0.583584594,0.431736041,1,110210444,R,II,GSTM2,TSS200,shore,TSS200-shore,chr1:110210581-110210956,TRUE,TRUE,,,,0.524323575
cg08879470,0.413758287,0.556420498,14.23405502,2.03E-39,6.40E-37,78.47474314,0.17987069,0.593628977,0.413758287,11,76859056,F,I,MYO7A,Body,island,Body-island,chr11:76858728-76859181,TRUE,,,rs4074664,rs71469546,0.522931766
cg08377924,0.455227965,0.526558613,14.71900945,1.22E-41,6.02E-39,83.57068034,0.112268415,0.567496379,0.455227965,17,41363628,R,II,NBR1,3'UTR,shore,3'UTR-shore,chr17:41363727-41364273,TRUE,,,,,0.521922397
cg00980978,0.434326503,0.537549215,14.21229811,2.55E-39,7.88E-37,78.24794969,0.142280851,0.576607354,0.434326503,20,44098724,R,II,WFDC2,Body,island,Body-island,chr20:44098280-44099536,,TRUE,,,,0.520287603
cg15732851,0.400786037,0.550707893,12.13607349,3.16E-30,2.01E-28,57.43056628,0.185963766,0.586749803,0.400786037,1,203598761,F,I,ATP2B4,5'UTR,island,5'UTR-island,chr1:203598471-203598853,,,,,,0.519229952
cg06428620,0.455648394,0.597538829,15.29143975,2.63E-44,2.13E-41,89.68062138,0.182866011,0.638514404,0.455648394,5,140864276,R,II,PCDHGA4,Body,shore,Body-shore,chr5:140864527-140864748,,TRUE,,,rs79019286,0.518995862
cg16260298,0.440477513,0.540672944,16.4909963,5.11E-50,1.32E-46,102.7772927,0.139806718,0.580284231,0.440477513,7,116140342,F,II,CAV2,Body,island,Body-island,chr7:116139774-116140352,TRUE,,,,,0.518921037
cg02156680,0.430787277,0.531705566,14.11790526,6.85E-39,1.98E-36,77.26587856,0.139658151,0.570445429,0.430787277,8,120651317,R,II,ENPP2,TSS1500,opensea,TSS1500-opensea,,TRUE,TRUE,,,,0.518424761
cg05168015,0.441683853,0.658271463,16.31035301,3.79E-49,8.19E-46,100.7820198,0.256307381,0.697991234,0.441683853,5,171880461,F,II,SH3PXD2B,Body,shore,Body-shore,chr5:171881182-171881547,TRUE,,,,,0.518344719
cg23095615,0.42853034,0.583027475,13.6807765,6.36E-37,1.27E-34,72.75890032,0.193034036,0.621564376,0.42853034,6,146136563,F,II,FBXO30,TSS1500,island,TSS1500-island,chr6:146136325-146136564,,,,,,0.514148851
cg05304177,0.411149445,0.488075204,15.83293818,7.26E-47,9.97E-44,95.54675584,0.11389963,0.525049075,0.411149445,3,134083080,F,I,AMOTL2,Body,island,Body-island,chr3:134082860-134083201,,TRUE,,,,0.513871319
cg09651145,0.422567793,0.596595116,16.27370258,5.68E-49,1.19E-45,100.3781373,0.212028024,0.634595817,0.422567793,5,148651144,R,II,AFAP1L1,TSS1500,island,TSS1500-island,chr5:148650920-148651772,TRUE,,,,,0.513821145
cg27260772,0.396633153,0.587561897,12.23740222,1.18E-30,8.05E-29,58.40488411,0.226597193,0.623230346,0.396633153,6,50791202,F,I,TFAP2B,Body,island,Body-island,chr6:50791110-50791573,,,,,,0.513727276
cg22538054,0.428872583,0.516245198,16.21690383,1.06E-48,2.05E-45,99.75285779,0.125940293,0.554812876,0.428872583,12,95941988,F,I,USP44,5'UTR,island,5'UTR-island,chr12:95941906-95942979,TRUE,,,rs61939483,,0.511736954
cg20557104,0.438671975,0.568807148,16.62447902,1.16E-50,3.38E-47,104.2564728,0.169584092,0.608256067,0.438671975,19,41934313,F,II,B3GNT8,5'UTR,opensea,5'UTR-opensea,,,,,,,0.511503819
cg22796507,0.398606622,0.543422227,14.5781666,5.42E-41,2.35E-38,82.0828048,0.180661524,0.579268146,0.398606622,1,47882739,F,I,FOXE3,1stExon,island,1stExon-island,chr1:47881896-47883065,TRUE,TRUE,,rs12724260,,0.509786692
cg22262168,0.396932113,0.580873551,14.26168819,1.52E-39,4.92E-37,78.76302268,0.219636772,0.616568885,0.396932113,9,27528999,R,II,MOBKL2B,5'UTR,island,5'UTR-island,chr9:27528976-27529885,,,,,,0.509712229
cg00677574,0.430728326,0.630442222,16.71472987,4.23E-51,1.39E-47,105.2588383,0.238448457,0.669176783,0.430728326,17,43221327,R,II,ACBD4,3'UTR,shore,3'UTR-shore,chr17:43221927-43222388,TRUE,TRUE,,,,0.509140104
cg15410675,0.415406122,0.627036834,13.90574682,6.23E-38,1.50E-35,75.0698941,0.248987377,0.664393499,0.415406122,4,154144800,F,II,TRIM2,Body,shore,Body-shore,chr4:154143932-154144463,,TRUE,,,,0.509137734
cg14769786,0.394932683,0.644376736,14.28150021,1.24E-39,4.05E-37,78.96986828,0.284959582,0.679892265,0.394932683,17,1881333,F,I,RTN4RL1,Body,shore,Body-shore,chr17:1880789-1881116,,TRUE,,rs12103650,,0.509096245
cg14130039,0.431070513,0.582808576,15.17480868,9.24E-44,6.70E-41,88.42783788,0.190503396,0.62157391,0.431070513,6,32121225,R,II,PPT2,TSS200,shore,TSS200-shore,chr6:32121829-32122529,,,,,,0.508970194
cg17437939,0.427859796,0.639887755,15.15461024,1.15E-43,8.20E-41,88.21127856,0.250504559,0.678364355,0.427859796,7,97361252,R,II,TAC1,TSS200,island,TSS200-island,chr7:97361132-97363018,,,,,,0.508479739
cg21634602,0.38979035,0.55847866,10.53077795,9.13E-24,2.33E-22,42.6639951,0.203741399,0.593531749,0.38979035,5,112073570,R,II,APC,1stExon,opensea,1stExon-opensea,,TRUE,TRUE,high-CpG:112101462-112101485,,,0.507761097
cg04299389,0.426405674,0.580195462,14.92688142,1.32E-42,7.67E-40,85.7780204,0.192135621,0.618541296,0.426405674,20,25129296,F,II,LOC284798,Body,island,Body-island,chr20:25128764-25129610,TRUE,TRUE,,,,0.507283417
cg06244497,0.429319861,0.526680156,14.54416643,7.77E-41,3.26E-38,81.72457577,0.135968196,0.565288057,0.429319861,19,39466575,F,II,FBXO17,TSS200,shore,TSS200-shore,chr19:39465846-39466403,,TRUE,,,,0.505732424
cg20601919,0.425405436,0.593147991,10.99105428,1.46E-25,4.72E-24,46.76261313,0.20599844,0.631403876,0.425405436,2,219646831,F,I,CYP27A1,5'UTR,island,5'UTR-island,chr2:219646432-219647181,TRUE,,high-CpG:219354692-219355323,,,0.505606056
cg06947913,0.381894179,0.489870477,13.32328342,2.45E-35,3.70E-33,69.12535565,0.1423193,0.524213479,0.381894179,12,50297793,R,I,FAIM2,TSS200,island,TSS200-island,chr12:50297580-50297988,TRUE,TRUE,,,,0.505495947
cg14539231,0.373137389,0.494941708,13.37451479,1.46E-35,2.28E-33,69.64307003,0.15535984,0.528497228,0.373137389,13,43566262,F,II,EPSTI1,1stExon,island,1stExon-island,chr13:43566074-43566508,TRUE,TRUE,,,,0.50529618
cg07198194,0.418193306,0.539452539,18.43280484,1.51E-59,2.70E-55,124.6444812,0.158866545,0.577059851,0.418193306,10,3109053,R,I,PFKP,TSS1500,island,TSS1500-island,chr10:3108650-3111419,,,,,,0.504579713
cg13000649,0.410678429,0.495528247,18.25593865,1.14E-58,1.79E-54,122.625236,0.121781331,0.53245976,0.410678429,17,17626790,R,II,RAI1,5'UTR,island,5'UTR-island,chr17:17625605-17628500,,,,,,0.50372689
cg00800229,0.423759953,0.498647404,16.08532684,4.54E-48,7.63E-45,98.30737384,0.11299536,0.536755313,0.423759953,14,22004993,F,I,SALL2,1stExon,opensea,1stExon-opensea,,,TRUE,,,,0.503361843
cg00735923,0.403022924,0.63903779,14.32860487,7.54E-40,2.58E-37,79.46219153,0.272257935,0.675280859,0.403022924,7,117119963,R,II,CFTR,TSS200,opensea,TSS200-opensea,,,,low-CpG:116906174-116907321,,,0.50322073
cg24033558,0.423071661,0.579939945,20.19649747,2.04E-68,3.84E-63,145.0009546,0.194914296,0.617985957,0.423071661,15,45479755,R,I,SHF,Body,island,Body-island,chr15:45479509-45480498,TRUE,,,,,0.502369931
cg18652900,0.410112029,0.566651978,15.75606007,1.68E-46,2.14E-43,94.70911389,0.193420527,0.603532556,0.410112029,19,15580445,R,I,PGLYRP2,Body,island,Body-island,chr19:15580382-15580863,,,,,,0.501789693
cg04765848,0.425044119,0.581558286,16.71382345,4.28E-51,1.39E-47,105.2487622,0.194737559,0.619781678,0.425044119,1,53527576,R,II,PODN,TSS1500,island,TSS1500-island,chr1:53527572-53528974,,,,,,0.501493962
cg11097717,0.393034899,0.574906467,16.09444723,4.11E-48,6.96E-45,98.40743194,0.217216433,0.610251332,0.393034899,2,191045635,F,II,C2orf88,5'UTR,island,5'UTR-island,chr2:191044979-191045829,,TRUE,,,,0.500745964
cg22178238,0.400404639,0.603977012,17.85422558,1.12E-56,1.00E-52,118.0573089,0.239579985,0.639984623,0.400404639,7,158362809,F,I,PTPRN2,Body,island,Body-island,chr7:158361909-158362970,,,,rs74714314,,0.500096336
cg25737323,0.400936278,0.574225143,14.02727922,1.76E-38,4.70E-36,76.32590026,0.209344286,0.610280564,0.400936278,2,29338100,R,I,CLIP4,TSS1500,island,TSS1500-island,chr2:29337983-29338909,TRUE,,high-CpG:29191546-29192008,,,0.499539957
cg18516619,0.402575136,0.533353476,14.32831605,7.56E-40,2.58E-37,79.45917062,0.16698114,0.569556276,0.402575136,17,78806891,R,II,RPTOR,Body,opensea,Body-opensea,,,TRUE,,,,0.499264643
cg14000361,0.40298381,0.612182869,15.35752576,1.29E-44,1.11E-41,90.39220909,0.24543861,0.648422421,0.40298381,6,10882336,F,I,GCM2,TSS1500,shore,TSS1500-shore,chr6:10882926-10883149,,,,,,0.498140837
cg20787173,0.398757684,0.541145196,14.53223371,8.81E-41,3.65E-38,81.59894002,0.178247016,0.5770047,0.398757684,6,133562475,F,I,EYA4,TSS200,island,TSS200-island,chr6:133562086-133563586,TRUE,,,,,0.497229225
cg18267506,0.424508915,0.52323891,14.01202208,2.07E-38,5.45E-36,76.167935,0.136905258,0.561414173,0.424508915,1,48937445,R,II,SPATA6,Body,island,Body-island,chr1:48937304-48937683,,,,,,0.496004723
cg16703956,0.405173205,0.528863792,16.24020906,8.23E-49,1.61E-45,100.0093239,0.160127027,0.565300232,0.405173205,5,1446217,F,I,SLC6A3,TSS1500,island,TSS1500-island,chr5:1444678-1446648,TRUE,,,,rs2735852,0.494943659
cg03172947,0.41801598,0.542114137,16.10874094,3.51E-48,6.00E-45,98.56428707,0.161689522,0.579705502,0.41801598,20,44035850,R,II,DBNDD2,5'UTR,island,5'UTR-island,chr20:44034458-44035954,TRUE,,,,,0.494788724
cg14616251,0.40401107,0.581737678,14.91609077,1.49E-42,8.53E-40,85.66310999,0.214058538,0.618069609,0.40401107,1,24648696,R,II,GRHL3,TSS1500,island,TSS1500-island,chr1:24648202-24648985,TRUE,,,,,0.494668251
cg23618344,0.405861603,0.546190164,14.29823635,1.04E-39,3.45E-37,79.14470376,0.176826907,0.58268851,0.405861603,12,54423428,R,II,HOXC4,5'UTR,island,5'UTR-island,chr12:54423427-54423712,,,,,,0.492325629
cg18260397,0.407640147,0.626264586,15.96617344,1.68E-47,2.57E-44,97.00206764,0.255282726,0.662922873,0.407640147,5,154230438,R,II,C5orf4,TSS1500,opensea,TSS1500-opensea,,TRUE,TRUE,,,,0.492237312
cg09994356,0.458274658,0.522550679,14.91504966,1.50E-42,8.61E-40,85.65202501,0.105487771,0.563762428,0.458274658,20,42875779,R,I,GDAP1L1,TSS200,island,TSS200-island,chr20:42875764-42876184,TRUE,,,,,0.491476505
cg06361405,0.430505324,0.537153613,17.36204178,2.96E-54,1.69E-50,112.498472,0.145362797,0.57586812,0.430505324,10,104434010,F,II,ARL3,3'UTR,opensea,3'UTR-opensea,,TRUE,,,,,0.491041827
cg26412532,0.407850797,0.518748398,15.30889551,2.17E-44,1.80E-41,89.86845731,0.14757483,0.555425628,0.407850797,10,103881068,F,II,LDB1,TSS1500,shore,TSS1500-shore,chr10:103879633-103880628,,,,,,0.490481376
cg01972751,0.407480809,0.549733169,14.60175842,4.22E-41,1.87E-38,82.33158943,0.178896317,0.586377126,0.407480809,6,137814728,R,I,OLIG3,1stExon,island,1stExon-island,chr6:137814355-137815202,TRUE,TRUE,,,,0.49042883
cg04203238,0.397378973,0.563978376,16.31099095,3.76E-49,8.18E-46,100.7890526,0.202334922,0.599713895,0.397378973,4,16085702,F,I,PROM1,TSS200,island,TSS200-island,chr4:16084195-16085735,TRUE,,high-CpG:15694060-15695184,,,0.490392611
cg23267759,0.391573087,0.545523498,14.86927627,2.45E-42,1.35E-39,85.16499047,0.189163817,0.580736905,0.391573087,18,19751335,F,I,GATA6,Body,island,Body-island,chr18:19744936-19752363,,TRUE,,,,0.490247286
cg15835232,0.396693858,0.509379252,15.87736934,4.46E-47,6.34E-44,96.03156556,0.148359303,0.545053161,0.396693858,17,53343075,F,II,HLF,Body,shore,Body-shore,chr17:53342198-53343061,,,,,,0.489519584
cg09691340,0.422791883,0.504345282,14.21964198,2.37E-39,7.32E-37,78.32448398,0.119574251,0.542366135,0.422791883,17,42402882,R,I,SLC25A39,TSS1500,island,TSS1500-island,chr17:42402787-42403266,,,,,,0.489432978
cg15267232,0.416894211,0.60183044,18.13185186,4.72E-58,6.34E-54,121.2114435,0.222426716,0.639320927,0.416894211,10,8097689,F,I,GATA3,Body,island,Body-island,chr10:8091374-8098329,,,,,,0.487701812
cg07561894,0.385308072,0.575487982,13.74721692,3.21E-37,6.73E-35,73.43948472,0.224829917,0.610137989,0.385308072,19,18540208,R,II,SSBP4,Body,island,Body-island,chr19:18539781-18540341,TRUE,,,,,0.487118454
cg07302069,0.426054807,0.5203073,12.93235538,1.26E-33,1.41E-31,65.20911249,0.132566774,0.558621581,0.426054807,7,27196286,F,I,HOXA7,5'UTR,island,5'UTR-island,chr7:27195601-27196567,TRUE,,high-CpG:27162728-27162853,,,0.4867648
cg12630147,0.410054937,0.585328732,14.5391136,8.19E-41,3.41E-38,81.67137055,0.212149238,0.622204176,0.410054937,10,70321574,F,II,TET1,5'UTR,shore,5'UTR-shore,chr10:70320130-70320822,TRUE,,,,,0.484668994
cg08047907,0.400571534,0.56470176,13.81279056,1.63E-37,3.63E-35,74.11277616,0.200152845,0.60072438,0.400571534,1,169396858,R,II,C1orf114,TSS200,island,TSS200-island,chr1:169396621-169396869,,TRUE,,,,0.48451792
cg15323528,0.417296074,0.499650354,16.15853505,2.03E-48,3.63E-45,99.11110559,0.119880905,0.537176979,0.417296074,10,73156427,R,II,CDH23,TSS1500,island,TSS1500-island,chr10:73156164-73157954,TRUE,,high-CpG:72826209-72826722,,,0.484093302
cg18844382,0.4102668,0.533370037,17.88650517,7.74E-57,7.67E-53,118.42338,0.159997734,0.570264534,0.4102668,14,23834977,F,I,EFS,TSS200,island,TSS200-island,chr14:23834435-23835947,,,high-CpG:22904163-22905667,,,0.484000353
cg14820199,0.396407419,0.620009157,13.93530785,4.58E-38,1.14E-35,75.37491714,0.259249887,0.655657306,0.396407419,4,11429415,R,II,HS3ST1,5'UTR,island,5'UTR-island,chr4:11429414-11429633,,,,,,0.483685543
cg10119075,0.415495678,0.596070155,15.81724256,8.62E-47,1.15E-43,95.37561565,0.217939196,0.633434874,0.415495678,10,7709738,F,II,ITIH5,TSS1500,opensea,TSS1500-opensea,,,,,,,0.483559218
cg02029926,0.399465749,0.567971628,13.04010163,4.28E-34,5.20E-32,66.28235253,0.204429058,0.603894807,0.399465749,4,74734874,F,II,CXCL1,TSS1500,shore,TSS1500-shore,chr4:74734918-74735544,,,,,,0.483423726
cg07100000,0.39308665,0.582334602,15.3894824,9.09E-45,8.13E-42,90.73674873,0.22459747,0.617684121,0.39308665,5,170877840,F,II,FGF18,Body,island,Body-island,chr5:170877798-170878210,,,,,,0.483222542
cg13273396,0.423531102,0.561323882,13.49964233,4.07E-36,6.98E-34,70.91179127,0.17588011,0.599411212,0.423531102,12,81471867,R,II,ACSS3,1stExon,island,1stExon-island,chr12:81471569-81472119,,,high-CpG:79995927-79996052,,,0.483213512
cg16596604,0.405527198,0.57377082,14.90756188,1.63E-42,9.29E-40,85.57231036,0.204711895,0.610239094,0.405527198,16,21294947,R,I,CRYM,5'UTR,shore,5'UTR-shore,chr16:21294980-21295414,,,,,,0.482619714
cg24302235,0.438606613,0.499614019,13.98980323,2.60E-38,6.73E-36,75.93803793,0.100450447,0.53905706,0.438606613,3,170746073,R,II,SLC2A2,TSS1500,island,TSS1500-island,chr3:170746072-170746292,TRUE,TRUE,,,,0.482269913
cg21526205,0.382585958,0.481895301,13.9876156,2.66E-38,6.87E-36,75.91541209,0.133714555,0.516300513,0.382585958,1,76540574,R,I,ST6GALNAC3,Body,island,Body-island,chr1:76540147-76540653,TRUE,,,,,0.481788655
