CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,DNAm,cutpoint,F1,F1_validate
cg22777979,0.32962235405757,0.543197519545365,14.1811907029955,3.53778184159255e-39,1.07074112447009e-36,77.9239674889236,0.243217463514554,0.572839817572125,0.329622354057571,11,134283252,R,II,B3GAT1,TSS1500,shore,TSS1500-shore,chr11:134281380-134282919,,,,,,0.3738458345481571,hyper,0.39,0.9352818371607516,0.8791208791208791
cg25959149,0.393297984062596,0.656145649715246,14.3073603578856,9.426873102576607e-40,3.1721259352011e-37,79.2400581303226,0.298216189399287,0.691514173461883,0.393297984062596,20,17674250,R,II,BANF2,TSS200,opensea,TSS200-opensea,,,,,,,0.441928658375552,hyper,0.46,0.9240506329113924,0.8804347826086957
cg24715680,0.311597020804575,0.696386423783914,13.8013916870896,1.83398546394009e-37,4.06094468193987e-35,73.9956233376623,0.412810717799895,0.724407738604469,0.311597020804574,2,215675429,R,II,BARD1,TSS1500,shore,TSS1500-shore,chr2:215673995-215675052,,,,,,0.3685319377033813,hyper,0.56,0.9285714285714286,0.8852459016393442
cg09696939,0.375232793501444,0.518323325061345,13.5167499946989,3.4182916581591495e-36,5.93437200395829e-34,71.0857179641212,0.176834487810031,0.552067281311475,0.375232793501444,10,60272079,R,I,BICC1,TSS1500,shore,TSS1500-shore,chr10:60272467-60273456,True,,,,,0.4171859222476481,hyper,0.32,0.9397089397089397,0.9206349206349206
cg18759209,0.355188592086869,0.512328197641325,16.3304227413169,3.03275565909797e-49,6.7113990748879514e-46,101.003320393197,0.189081025706153,0.544269617793022,0.355188592086869,20,55842071,R,I,BMP7,TSS1500,shore,TSS1500-shore,chr20:55840216-55841794,True,,,,,0.4075977812746775,hyper,0.29,0.959349593495935,0.9375
cg04542030,0.301880371383582,0.581362462073504,12.2428837962764,1.1228369734311298e-30,7.66497702031679e-29,58.4577247351384,0.306629606102115,0.608509977485697,0.301880371383582,2,74375469,R,II,BOLA3,TSS1500,shore,TSS1500-shore,chr2:74374838-74375257,,,,rs828883,,0.3698220089846988,hyper,0.41,0.9316770186335402,0.9206349206349206
cg26459819,0.343286532475704,0.608022394788774,16.5698412628222,2.12694927050115e-50,5.8318441503894e-47,103.650521974127,0.295606953363042,0.638893485838747,0.343286532475705,11,111169457,R,I,C11orf93,TSS1500,island,TSS1500-island,chr11:111169304-111170428,True,,,,,0.3982802090239737,hyper,0.47,0.9591836734693876,0.9206349206349206
cg04986616,0.366826123666658,0.584508101900505,14.464302527989,1.8060271428089399e-40,7.02623000269323e-38,80.8845975547932,0.250669938995238,0.617496062661895,0.366826123666658,11,63537378,R,II,C11orf95,TSS1500,island,TSS1500-island,chr11:63535652-63537435,,,,,,0.4228505971056457,hyper,0.43,0.9355509355509356,0.8791208791208791
cg25029264,0.331565177815585,0.468533871466309,9.77998409139117,6.011898760991221e-21,1.11200470690727e-19,36.2337172105614,0.166785706044212,0.498350883859797,0.331565177815585,15,81426347,R,II,C15orf26,TSS1500,shore,TSS1500-shore,chr15:81426499-81426702,True,,,,,0.4042199660946073,hyper,0.16,0.9404517453798767,0.8994708994708994
cg25374649,0.324500802032042,0.491336699642427,9.44128498165002,1.0087540783619601e-19,1.6345005084424198e-18,33.442386519442,0.196017624411828,0.520518426443869,0.324500802032041,18,13611400,F,II,C18orf1,TSS1500,opensea,TSS1500-opensea,,True,True,,rs1940910,,0.3907151467762111,hyper,0.31,0.87527352297593,0.8409090909090909
cg08047907,0.400571534191157,0.564701759519185,13.8127905586003,1.63025011441214e-37,3.63334267945746e-35,74.112776156134,0.200152845309247,0.600724379500404,0.400571534191157,1,169396858,R,II,C1orf114,TSS200,island,TSS200-island,chr1:169396621-169396869,,True,,,,0.4845179196222698,hyper,0.38,0.9355509355509356,0.8972972972972972
cg10426464,0.30579669597691,0.452669517455342,11.0442637447515,9.01870144448129e-26,2.99380620923064e-24,47.2437442040692,0.174372524354053,0.480169220330964,0.305796695976911,15,62457529,F,I,C2CD4B,TSS200,island,TSS200-island,chr15:62456015-62457648,True,,,,,0.3904233689356242,hyper,0.3,0.9148936170212766,0.8983957219251336
cg14013195,0.351528222579923,0.455223116257423,11.0470348079241,8.7934375155627e-26,2.92315557174363e-24,47.2688414643666,0.135307143909508,0.486835366489431,0.351528222579923,2,26624767,F,II,C2orf39,TSS200,island,TSS200-island,chr2:26624603-26625057,True,True,,,,0.3956721707649276,hyper,0.26,0.8937093275488069,0.8474576271186441
cg26625629,0.331803879307975,0.472181882804878,10.5465453484338,7.94004601133125e-24,2.0444083291307e-22,42.8024861806062,0.170216481851937,0.502020361159912,0.331803879307975,2,21022877,R,I,C2orf43,TSS200,island,TSS200-island,chr2:21022564-21022934,,,,,,0.4452546108014961,hyper,0.37,0.8747252747252748,0.813953488372093
cg04787024,0.375838552566233,0.574145986876254,14.7300935277884,1.0802056155689e-41,5.41116849008119e-39,83.688040266918,0.232105865296193,0.607944417862426,0.375838552566233,2,99553442,R,I,C2orf55,TSS1500,island,TSS1500-island,chr2:99552185-99553831,True,,,,,0.4378031217298282,hyper,0.46,0.9055793991416308,0.8777777777777778
cg02611848,0.329323576848839,0.601576733160068,14.2759375213044,1.3110833046554e-39,4.27044237773059e-37,78.9117781768127,0.301868585883966,0.631192162732806,0.32932357684884,2,74875387,F,I,C2orf65,TSS1500,island,TSS1500-island,chr2:74875128-74875562,,,,,,0.3875966584575618,hyper,0.39,0.9510204081632652,0.9387755102040817
cg08350814,0.404586927720951,0.467930146704021,13.1972340994521,8.793834562137896e-35,1.1969191503072e-32,67.8559464931172,0.0997269355047379,0.504313863225689,0.404586927720951,2,191045309,R,I,C2orf88,TSS1500,island,TSS1500-island,chr2:191044979-191045829,True,True,,,,0.4752842088522858,hyper,0.13,0.9443298969072164,0.9696969696969697
cg00301159,0.343523413806436,0.627199100773198,14.3536649633103,5.79425116497811e-40,2.03152493897539e-37,79.7244151022147,0.314568080294678,0.658091494101115,0.343523413806436,3,157260788,F,II,C3orf55,TSS1500,island,TSS1500-island,chr3:157260666-157261224,True,,,,,0.411392028387041,hyper,0.43,0.9443298969072164,0.9090909090909092
cg18260397,0.407640146826325,0.626264586152182,15.9661734435388,1.68434191815995e-47,2.5654164021107804e-44,97.0020676419334,0.255282725910957,0.662922872737283,0.407640146826326,5,154230438,R,II,C5orf4,TSS1500,opensea,TSS1500-opensea,,True,True,,,,0.4922373124201658,hyper,0.4,0.9508196721311476,0.9319371727748691
cg01029638,0.292026628510835,0.592228079831579,9.30893647096696,2.9795382776950603e-19,4.593734673825949e-18,32.37094545902,0.326462838776754,0.618489467287589,0.292026628510836,7,120628874,F,II,C7orf58,TSS1500,opensea,TSS1500-opensea,,,True,,,,0.3852005222194801,hyper,0.46,0.8922413793103449,0.8342857142857143
cg14025053,0.3095084334991,0.630452364605202,13.1200665253945,1.9152729691317198e-34,2.47691738519148e-32,67.0819178621298,0.348777423327245,0.658285856826344,0.309508433499099,8,104153637,F,I,C8orf56,TSS200,shore,TSS200-shore,chr8:104152726-104153390,,,,rs72671356,,0.3823981588288977,hyper,0.45,0.933609958506224,0.9326424870466321
cg18674980,0.362901439282966,0.598701673033821,12.9802037478819,7.80405294228717e-34,9.05311050617683e-32,65.6851348652137,0.268435255269107,0.631336694552073,0.362901439282966,8,86350581,F,II,CA3,TSS1500,shore,TSS1500-shore,chr8:86350765-86351196,,True,,,,0.4152073981466279,hyper,0.38,0.9445585215605748,0.9489795918367346
cg06390484,0.329234900019838,0.675957332625907,13.7097172332354,4.72019572980165e-37,9.66663709597185e-35,73.0551557127863,0.376329887643825,0.705564787663663,0.329234900019838,7,134575271,R,II,CALD1,TSS1500,opensea,TSS1500-opensea,,,,,,,0.376427344225357,hyper,0.53,0.9240506329113924,0.9090909090909092
cg08351336,0.343000211285128,0.551008111284808,14.0110307513551,2.08756802895171e-38,5.49198272959286e-36,76.1576740508088,0.238853242741149,0.581853454026277,0.343000211285127,5,71014820,F,II,CARTPT,TSS200,shore,TSS200-shore,chr5:71014917-71015715,,,,rs17358216,,0.3933497437159232,hyper,0.33,0.9595141700404858,0.9214659685863875
cg17469978,0.36480071904102,0.45983716811117,12.9200905408428,1.42392890605854e-33,1.58052231912814e-31,65.0872466845066,0.127842269127796,0.492642988168816,0.36480071904102,7,116164704,R,II,CAV1,TSS200,island,TSS200-island,chr7:116164703-116166735,True,,,,,0.405101175523717,hyper,0.19,0.952965235173824,0.9197860962566845
cg20779964,0.312429214912304,0.472449538173249,15.4379352732511,5.37813056201532e-45,5.00811784178953e-42,91.2596886833931,0.188116475681117,0.50054569059342,0.312429214912303,20,54580070,R,I,CBLN4,TSS200,island,TSS200-island,chr20:54578603-54580678,,,,,,0.3856777814878951,hyper,0.27,0.9508196721311476,0.9430051813471503
cg20687242,0.434039699468386,0.581535261918876,15.2796006272014,2.98467783847315e-44,2.40371581070156e-41,89.5532738146057,0.186527909524985,0.620567608993371,0.434039699468385,12,54653427,F,II,CBX5,TSS200,opensea,TSS200-opensea,,True,,,,,0.5324745764147917,hyper,0.26,0.9678714859437751,0.9538461538461539
cg08096786,0.351400176397836,0.633908493107658,12.9990460610631,6.46140909739821e-34,7.61056483871852e-32,65.8728462466043,0.314109051997398,0.665509228395234,0.351400176397835,16,57571099,R,II,CCDC102A,TSS1500,shore,TSS1500-shore,chr16:57569848-57570844,,,,,rs4784819,0.4213222164189203,hyper,0.5,0.9102564102564102,0.8743169398907104
cg03576469,0.472785931475506,0.621988235775476,17.0832107588338,6.83629264534648e-53,3.1751203390649e-49,109.369499853174,0.191719024756399,0.664504956231906,0.472785931475507,19,46917061,F,II,CCDC8,TSS200,shore,TSS200-shore,chr19:46915311-46915802,True,,,,,0.5498279871805059,hyper,0.38,0.9613034623217924,0.9263157894736842
cg11142705,0.372960163604148,0.482327575354124,13.3611355537976,1.6704059889205e-35,2.5935414158557002e-33,69.5077689987445,0.142906994807903,0.515867158412051,0.372960163604147,3,42306974,R,II,CCK,TSS1500,island,TSS1500-island,chr3:42306149-42307520,,,,,,0.4548691302807278,hyper,0.31,0.919831223628692,0.8603351955307262
cg21462428,0.329878148598117,0.450886869763744,12.1329634515081,3.25349433514023e-30,2.06509336317096e-28,57.4007361399773,0.15067402229855,0.480552170896668,0.329878148598118,12,4381448,F,II,CCND2,TSS1500,island,TSS1500-island,chr12:4378366-4382222,,,,,,0.3934579593136668,hyper,0.24,0.937759336099585,0.8972972972972972
cg10777851,0.311821294502116,0.453760494364273,9.45289960654148,9.16820402626705e-20,1.49351528349433e-18,33.5369368412233,0.169980683180692,0.481801977682808,0.311821294502116,3,112051808,F,II,CD200,TSS200,shore,TSS200-shore,chr3:112051893-112052406,,,,,,0.3714573477114759,hyper,0.22,0.908704883227176,0.8791208791208791
cg07145284,0.322301112445295,0.613864307535304,12.9125344024163,1.53557729214671e-33,1.69460796477575e-31,65.0121983136327,0.320547108079693,0.642848220524989,0.322301112445296,11,66084631,R,II,CD248,TSS200,shore,TSS200-shore,chr11:66083572-66083782,True,True,,,,0.399621400525028,hyper,0.5,0.908315565031983,0.8666666666666667
cg20143092,0.354638084865228,0.452950795833836,11.2678951707638,1.1564291190568399e-26,4.33407468355029e-25,49.2819815448015,0.130204625075192,0.484842709940421,0.354638084865229,11,35160330,R,II,CD44,TSS200,shore,TSS200-shore,chr11:35160375-35161000,True,,,,,0.4006829270942624,hyper,0.22,0.9355509355509356,0.8715083798882681
cg22222281,0.339835369533291,0.558712542176417,13.2650349574471,4.4291828885745e-35,6.3453189207775e-33,68.5379741893981,0.249437907313387,0.589273276846677,0.33983536953329,12,6308758,R,I,CD9,TSS1500,shore,TSS1500-shore,chr12:6309152-6310392,True,True,,,,0.3865666690728577,hyper,0.38,0.9330543933054394,0.9032258064516129
cg15323528,0.417296073684769,0.49965035358933,16.1585350497832,2.02691019108509e-48,3.62780722675942e-45,99.1111055880761,0.119880905235925,0.537176978920694,0.417296073684769,10,73156427,R,II,CDH23,TSS1500,island,TSS1500-island,chr10:73156164-73157954,True,,high-CpG:72826209-72826722,,,0.4840933017196013,hyper,0.23,0.9570552147239264,0.9484536082474226
cg06197769,0.321690422284711,0.552935888317416,11.5550856259142,7.97266809042717e-28,3.52575243794423e-26,51.9368608684534,0.260174460842482,0.581864883127192,0.321690422284711,12,12868983,R,II,CDKN1B,TSS1500,shore,TSS1500-shore,chr12:12869798-12871248,,True,,,,0.3887075466335487,hyper,0.31,0.9469387755102042,0.8936170212765958
cg23180938,0.327648300822904,0.399769014490361,10.4745059606984,1.50144336256007e-23,3.73405500239248e-22,42.17086465107,0.101585488921316,0.429233789744219,0.327648300822904,5,115152485,F,I,CDO1,TSS200,island,TSS200-island,chr5:115151348-115152713,True,,,,,0.3768183035671658,hyper,0.18,0.9032258064516128,0.9032258064516129
cg07984133,0.328186809705528,0.503063487771479,12.6073778870608,3.17455275034991e-32,2.78387556514076e-30,62.0013362358181,0.204389880377599,0.532576690083127,0.328186809705528,13,28544592,R,I,CDX2,TSS1500,island,TSS1500-island,chr13:28544524-28544890,,,,,,0.3790210639840844,hyper,0.35,0.9106382978723404,0.8983957219251336
cg08249424,0.374861194332098,0.555735347058483,11.4859871017571,1.52292235531149e-27,6.46648989480765e-26,51.2943230697611,0.214584691785027,0.589445886117125,0.374861194332098,6,4775222,R,II,CDYL,TSS1500,island,TSS1500-island,chr6:4775131-4777550,,,,,,0.4235733993994852,hyper,0.31,0.9152542372881356,0.9206349206349206
cg12441967,0.360987188049171,0.567740736886249,16.2500081425448,7.38203069878217e-49,1.46166150475544e-45,100.117198566842,0.239216425460206,0.600203613509375,0.360987188049169,22,17602561,R,II,CECR6,TSS1500,island,TSS1500-island,chr22:17600563-17602611,True,,,,,0.4351765219669419,hyper,0.38,0.959349593495935,0.8972972972972972
cg00735923,0.403022923848159,0.63903779044459,14.328604872229,7.5410065723777e-40,2.58023414764957e-37,79.4621915285853,0.272257935287812,0.675280859135971,0.403022923848159,7,117119963,R,II,CFTR,TSS200,opensea,TSS200-opensea,,,,low-CpG:116906174-116907321,,,0.5032207304210596,hyper,0.37,0.9575757575757576,0.9435897435897437
cg22627841,0.314188766784943,0.534876573286812,14.7065166535637,1.38803914676836e-41,6.74660551950892e-39,83.4384509951612,0.248942192004112,0.563130958789056,0.314188766784944,17,48546258,F,I,CHAD,TSS200,island,TSS200-island,chr17:48545570-48546900,,True,,,,0.4176709983464159,hyper,0.36,0.9467213114754098,0.9494949494949495
cg05746024,0.340093316461211,0.530481420554487,11.2591440464582,1.2538127556532499e-26,4.67668677117322e-25,49.2017370716747,0.220972035429715,0.561065351890926,0.340093316461211,1,154540074,F,II,CHRNB2,TSS200,shore,TSS200-shore,chr1:154540233-154540573,,True,,,,0.387866012940968,hyper,0.28,0.9419087136929462,0.9148936170212766
cg09469554,0.328228465889547,0.447295133114742,10.1246307847825,3.18050767585802e-22,6.789167556719051e-21,39.1449399530695,0.148583615596557,0.476812081486104,0.328228465889548,13,96204917,R,I,CLDN10,TSS200,island,TSS200-island,chr13:96204691-96205496,True,,high-CpG:95002899-95002984,,,0.4010387323851567,hyper,0.16,0.913684210526316,0.9157894736842105
cg25737323,0.400936278098004,0.574225142959377,14.0272792155545,1.7628433221741e-38,4.70014508872081e-36,76.325900256666,0.209344285553639,0.610280563651644,0.400936278098004,2,29338100,R,I,CLIP4,TSS1500,island,TSS1500-island,chr2:29337983-29338909,True,,high-CpG:29191546-29192008,,,0.4995399567560831,hyper,0.47,0.9125799573560768,0.8901098901098902
cg18344652,0.345762126076142,0.543845776083345,10.2575902318718,1.00486734132674e-22,2.26694721842065e-21,40.2866208698649,0.229177366380957,0.574939492457099,0.345762126076142,1,95393096,F,I,CNN3,TSS1500,island,TSS1500-island,chr1:95391837-95393116,,,,,,0.4213771586970247,hyper,0.26,0.9067796610169492,0.8913043478260869
cg10765212,0.360369800254154,0.59796449416195,13.2257722263767,6.590263238500161e-35,9.179155800221968e-33,68.1427980623291,0.27000205004576,0.630371850299914,0.360369800254153,2,190044638,R,II,COL5A2,TSS200,opensea,TSS200-opensea,,,,,,,0.4397056559242948,hyper,0.43,0.9148936170212766,0.8777777777777778
cg14957943,0.356267632674138,0.495507702713739,10.6651790285152,2.76379117457598e-24,7.545918127813031e-23,43.8488954942228,0.171278526215333,0.527546158889471,0.356267632674138,3,48632783,F,II,COL7A1,TSS200,island,TSS200-island,chr3:48631882-48632901,,True,high-CpG:48607725-48607801,,,0.4154586674189959,hyper,0.2,0.931106471816284,0.9148936170212766
cg20559608,0.333419864224354,0.404844309520136,10.0462037532202,6.24601523099671e-22,1.28769298552012e-20,38.4763156582586,0.101408246035383,0.434828110259736,0.333419864224354,3,131754012,F,I,CPNE4,TSS200,island,TSS200-island,chr3:131753880-131754139,,,,rs13093218,,0.3862000593688275,hyper,0.16,0.8893709327548808,0.8972972972972972
cg02032778,0.409746377406386,0.530437612440496,10.8066571571775,7.773819252637761e-25,2.2757370414275905e-23,45.1068662590108,0.157538930844037,0.567285308250423,0.409746377406386,7,29186228,F,II,CPVL,TSS200,opensea,TSS200-opensea,,,True,,rs245880,,0.4561133850188968,hyper,0.21,0.9171974522292994,0.8839779005524862
cg04991805,0.311891807789662,0.407338462239838,10.3578718302057,4.18640744935569e-23,9.882953153142929e-22,41.1544099137484,0.123494478891692,0.435386286681354,0.311891807789662,10,99790910,R,II,CRTAC1,TSS1500,island,TSS1500-island,chr10:99789614-99791320,,,,,,0.3744147587066913,hyper,0.15,0.9399585921325052,0.9533678756476685
cg06386478,0.303077045297116,0.520976217804118,11.5523616927464,8.17905296263232e-28,3.6106555031765897e-26,51.9114866807202,0.245154302479765,0.548231347776881,0.303077045297116,8,19460136,F,II,CSGALNACT1,TSS200,island,TSS200-island,chr8:19459905-19460137,,,,rs79865370,,0.3757065629446135,hyper,0.29,0.9533468559837728,0.9148936170212766
cg27239280,0.359866777272457,0.52526892727572,11.8129385360126,6.9808579937066e-29,3.60647305894314e-27,54.3552242131866,0.197764270261578,0.557631047534035,0.359866777272457,16,30907679,F,II,CTF1,TSS1500,shore,TSS1500-shore,chr16:30905549-30905783,,,,rs79233301,,0.3817245510926787,hyper,0.37,0.8859649122807017,0.8304093567251462
cg12178980,0.359858970364319,0.556374645938744,13.9783193453935,2.93320808396447e-38,7.511828095492529e-36,75.8192832190716,0.228877093772655,0.588736064136974,0.359858970364319,10,11206870,R,II,CUGBP2,TSS200,shore,TSS200-shore,chr10:11207178-11207980,True,,,,,0.4412947322173266,hyper,0.28,0.9552845528455284,0.925531914893617
cg03789645,0.392325228616236,0.667770102710902,15.0196169483608,4.90077596205772e-43,3.162429538260589e-40,86.7670205536639,0.310725919833536,0.703051148449772,0.392325228616236,7,148394842,R,II,CUL1,TSS1500,shore,TSS1500-shore,chr7:148395430-148397002,,,,,rs6959365,0.470830665331214,hyper,0.51,0.937759336099585,0.8852459016393442
cg20427865,0.333004354314127,0.731548142253296,15.8062114016037,9.72945761876171e-47,1.28882767727685e-43,95.2553735857053,0.428490222679647,0.761494576993775,0.333004354314128,16,57406353,F,II,CX3CL1,TSS200,opensea,TSS200-opensea,,,True,,rs2301772,,0.3917293323481786,hyper,0.62,0.926315789473684,0.8409090909090909
cg02029926,0.399465748971516,0.567971628053226,13.0401016315884,4.28013912428482e-34,5.19590106244456e-32,66.2823525320032,0.204429057946055,0.603894806917571,0.399465748971516,4,74734874,F,II,CXCL1,TSS1500,shore,TSS1500-shore,chr4:74734918-74735544,,,,,,0.4834237259327127,hyper,0.28,0.9467213114754098,0.9206349206349206
cg13215970,0.313181800635429,0.552291915339752,12.3885932559438,2.71802123917066e-31,2.03821963253673e-29,59.8672656057361,0.267273945696718,0.580455746332147,0.313181800635428,4,74864596,R,II,CXCL5,TSS200,shore,TSS200-shore,chr4:74864113-74864329,,True,,,,0.3813065535417825,hyper,0.29,0.9535353535353536,0.9340101522842639
