CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,cutpoint,F1,DNAm,auc
cg14130039,0.431070513,0.582808576,15.17480868,9.24e-44,6.7e-41,88.42783788,0.190503396,0.62157391,0.431070513,6,32121225,R,II,PPT2,TSS200,shore,TSS200-shore,chr6:32121829-32122529,,,,,,0.508970194,0.21,0.9699398797595192,hyper,0.9154150197628458
cg17437939,0.427859796,0.639887755,15.15461024,1.1500000000000001e-43,8.199999999999996e-41,88.21127856,0.250504559,0.678364355,0.427859796,7,97361252,R,II,TAC1,TSS200,island,TSS200-island,chr7:97361132-97363018,,,,,,0.508479739,0.34,0.9637096774193548,hyper,0.9103557312252964
cg21634602,0.38979035,0.55847866,10.53077795,9.13e-24,2.33e-22,42.6639951,0.203741399,0.593531749,0.38979035,5,112073570,R,II,APC,1stExon,opensea,1stExon-opensea,,True,True,high-CpG:112101462-112101485,,,0.507761097,0.16,0.9363449691991786,hyper,0.8434782608695652
cg06244497,0.429319861,0.526680156,14.54416643,7.77e-41,3.26e-38,81.72457577,0.135968196,0.565288057,0.429319861,19,39466575,F,II,FBXO17,TSS200,shore,TSS200-shore,chr19:39465846-39466403,,True,,,,0.505732424,0.31,0.9375,hyper,0.9302766798418974
cg20601919,0.425405436,0.593147991,10.99105428,1.46e-25,4.72e-24,46.76261313,0.20599844,0.631403876,0.425405436,2,219646831,F,I,CYP27A1,5'UTR,island,5'UTR-island,chr2:219646432-219647181,True,,high-CpG:219354692-219355323,,,0.505606056,0.22,0.908704883227176,hyper,0.8553359683794466
cg06947913,0.381894179,0.489870477,13.32328342,2.45e-35,3.7e-33,69.12535565,0.1423193,0.524213479,0.381894179,12,50297793,R,I,FAIM2,TSS200,island,TSS200-island,chr12:50297580-50297988,True,True,,,,0.505495947,0.21,0.931106471816284,hyper,0.8999209486166008
cg14539231,0.373137389,0.494941708,13.37451479,1.46e-35,2.2800000000000002e-33,69.64307003,0.15535984,0.528497228,0.373137389,13,43566262,F,II,EPSTI1,1stExon,island,1stExon-island,chr13:43566074-43566508,True,True,,,,0.50529618,0.39,0.8984881209503239,hyper,0.8815810276679842
cg07198194,0.418193306,0.539452539,18.43280484,1.5100000000000001e-59,2.7e-55,124.6444812,0.158866545,0.577059851,0.418193306,10,3109053,R,I,PFKP,TSS1500,island,TSS1500-island,chr10:3108650-3111419,,,,,,0.504579713,0.29,0.9698189134808854,hyper,0.9283794466403162
cg00800229,0.423759953,0.498647404,16.08532684,4.54e-48,7.63e-45,98.30737384,0.11299536,0.536755313,0.423759953,14,22004993,F,I,SALL2,1stExon,opensea,1stExon-opensea,,,True,,,,0.503361843,0.18,0.967741935483871,hyper,0.924901185770751
cg00735923,0.403022924,0.63903779,14.32860487,7.54e-40,2.5800000000000002e-37,79.46219153,0.272257935,0.675280859,0.403022924,7,117119963,R,II,CFTR,TSS200,opensea,TSS200-opensea,,,,low-CpG:116906174-116907321,,,0.50322073,0.37,0.9575757575757576,hyper,0.876205533596838
cg24033558,0.423071661,0.579939945,20.19649747,2.04e-68,3.84e-63,145.0009546,0.194914296,0.617985957,0.423071661,15,45479755,R,I,SHF,Body,island,Body-island,chr15:45479509-45480498,True,,,,,0.502369931,0.34,0.9718875502008032,hyper,0.9253754940711463
cg22178238,0.400404639,0.603977012,17.85422558,1.12e-56,1e-52,118.0573089,0.239579985,0.639984623,0.400404639,7,158362809,F,I,PTPRN2,Body,island,Body-island,chr7:158361909-158362970,,,,rs74714314,,0.500096336,0.48,0.9462809917355371,hyper,0.9253754940711463
cg18516619,0.402575136,0.533353476,14.32831605,7.56e-40,2.5800000000000002e-37,79.45917062,0.16698114,0.569556276,0.402575136,17,78806891,R,II,RPTOR,Body,opensea,Body-opensea,,,True,,,,0.499264643,0.31,0.9465020576131686,hyper,0.9022924901185772
cg14000361,0.40298381,0.612182869,15.35752576,1.29e-44,1.1099999999999999e-41,90.39220909,0.24543861,0.648422421,0.40298381,6,10882336,F,I,GCM2,TSS1500,shore,TSS1500-shore,chr6:10882926-10883149,,,,,,0.498140837,0.41,0.9465020576131686,hyper,0.906403162055336
cg20787173,0.398757684,0.541145196,14.53223371,8.81e-41,3.65e-38,81.59894002,0.178247016,0.5770047,0.398757684,6,133562475,F,I,EYA4,TSS200,island,TSS200-island,chr6:133562086-133563586,True,,,,,0.497229225,0.19,0.9635627530364372,hyper,0.913201581027668
cg16703956,0.405173205,0.528863792,16.24020906,8.23e-49,1.6099999999999998e-45,100.0093239,0.160127027,0.565300232,0.405173205,5,1446217,F,I,SLC6A3,TSS1500,island,TSS1500-island,chr5:1444678-1446648,True,,,,rs2735852,0.494943659,0.32,0.9549180327868853,hyper,0.917312252964427
cg14616251,0.40401107,0.581737678,14.91609077,1.49e-42,8.53e-40,85.66310999,0.214058538,0.618069609,0.40401107,1,24648696,R,II,GRHL3,TSS1500,island,TSS1500-island,chr1:24648202-24648985,True,,,,,0.494668251,0.42,0.9194915254237288,hyper,0.9040316205533596
cg23618344,0.405861603,0.546190164,14.29823635,1.04e-39,3.4500000000000004e-37,79.14470376,0.176826907,0.58268851,0.405861603,12,54423428,R,II,HOXC4,5'UTR,island,5'UTR-island,chr12:54423427-54423712,,,,,,0.492325629,0.29,0.959349593495935,hyper,0.9117786561264822
cg06361405,0.430505324,0.537153613,17.36204178,2.96e-54,1.69e-50,112.498472,0.145362797,0.57586812,0.430505324,10,104434010,F,II,ARL3,3'UTR,opensea,3'UTR-opensea,,True,,,,,0.491041827,0.45,0.91220556745182,hyper,0.9397628458498023
cg26412532,0.407850797,0.518748398,15.30889551,2.17e-44,1.8e-41,89.86845731,0.14757483,0.555425628,0.407850797,10,103881068,F,II,LDB1,TSS1500,shore,TSS1500-shore,chr10:103879633-103880628,,,,,,0.490481376,0.33,0.9397089397089397,hyper,0.9203162055335968
cg04203238,0.397378973,0.563978376,16.31099095,3.76e-49,8.18e-46,100.7890526,0.202334922,0.599713895,0.397378973,4,16085702,F,I,PROM1,TSS200,island,TSS200-island,chr4:16084195-16085735,True,,high-CpG:15694060-15695184,,,0.490392611,0.41,0.9484536082474228,hyper,0.9190513833992096
cg23267759,0.391573087,0.545523498,14.86927627,2.4499999999999997e-42,1.35e-39,85.16499047,0.189163817,0.580736905,0.391573087,18,19751335,F,I,GATA6,Body,island,Body-island,chr18:19744936-19752363,,True,,,,0.490247286,0.4,0.9194915254237288,hyper,0.9146245059288538
cg15835232,0.396693858,0.509379252,15.87736934,4.46e-47,6.34e-44,96.03156556,0.148359303,0.545053161,0.396693858,17,53343075,F,II,HLF,Body,shore,Body-shore,chr17:53342198-53343061,,,,,,0.489519584,0.27,0.9551020408163268,hyper,0.9128853754940712
cg15267232,0.416894211,0.60183044,18.13185186,4.720000000000001e-58,6.339999999999999e-54,121.2114435,0.222426716,0.639320927,0.416894211,10,8097689,F,I,GATA3,Body,island,Body-island,chr10:8091374-8098329,,,,,,0.487701812,0.33,0.9676113360323888,hyper,0.9261660079051384
cg07302069,0.426054807,0.5203073,12.93235538,1.26e-33,1.41e-31,65.20911249,0.132566774,0.558621581,0.426054807,7,27196286,F,I,HOXA7,5'UTR,island,5'UTR-island,chr7:27195601-27196567,True,,high-CpG:27162728-27162853,,,0.4867648,0.28,0.9194915254237288,hyper,0.908616600790514
cg12630147,0.410054937,0.585328732,14.5391136,8.19e-41,3.41e-38,81.67137055,0.212149238,0.622204176,0.410054937,10,70321574,F,II,TET1,5'UTR,shore,5'UTR-shore,chr10:70320130-70320822,True,,,,,0.484668994,0.33,0.9508196721311476,hyper,0.9087747035573124
cg15323528,0.417296074,0.499650354,16.15853505,2.0299999999999998e-48,3.6299999999999996e-45,99.11110559,0.119880905,0.537176979,0.417296074,10,73156427,R,II,CDH23,TSS1500,island,TSS1500-island,chr10:73156164-73157954,True,,high-CpG:72826209-72826722,,,0.484093302,0.23,0.9570552147239264,hyper,0.9252173913043478
cg18844382,0.4102668,0.533370037,17.88650517,7.740000000000003e-57,7.67e-53,118.42338,0.159997734,0.570264534,0.4102668,14,23834977,F,I,EFS,TSS200,island,TSS200-island,chr14:23834435-23835947,,,high-CpG:22904163-22905667,,,0.484000353,0.44,0.9308176100628932,hyper,0.9176284584980237
cg14820199,0.396407419,0.620009157,13.93530785,4.5799999999999996e-38,1.1400000000000001e-35,75.37491714,0.259249887,0.655657306,0.396407419,4,11429415,R,II,HS3ST1,5'UTR,island,5'UTR-island,chr4:11429414-11429633,,,,,,0.483685543,0.37,0.9443298969072164,hyper,0.9079841897233201
cg10119075,0.415495678,0.596070155,15.81724256,8.62e-47,1.1500000000000001e-43,95.37561565,0.217939196,0.633434874,0.415495678,10,7709738,F,II,ITIH5,TSS1500,opensea,TSS1500-opensea,,,,,,,0.483559218,0.38,0.9506172839506172,hyper,0.918102766798419
cg02029926,0.399465749,0.567971628,13.04010163,4.2799999999999995e-34,5.200000000000001e-32,66.28235253,0.204429058,0.603894807,0.399465749,4,74734874,F,II,CXCL1,TSS1500,shore,TSS1500-shore,chr4:74734918-74735544,,,,,,0.483423726,0.28,0.9467213114754098,hyper,0.886798418972332
cg07100000,0.39308665,0.582334602,15.3894824,9.089999999999999e-45,8.13e-42,90.73674873,0.22459747,0.617684121,0.39308665,5,170877840,F,II,FGF18,Body,island,Body-island,chr5:170877798-170878210,,,,,,0.483222542,0.41,0.9330543933054394,hyper,0.9070355731225297
cg13273396,0.423531102,0.561323882,13.49964233,4.0700000000000004e-36,6.98e-34,70.91179127,0.17588011,0.599411212,0.423531102,12,81471867,R,II,ACSS3,1stExon,island,1stExon-island,chr12:81471569-81472119,,,high-CpG:79995927-79996052,,,0.483213512,0.34,0.9217758985200843,hyper,0.9090909090909091
cg16596604,0.405527198,0.57377082,14.90756188,1.6299999999999997e-42,9.29e-40,85.57231036,0.204711895,0.610239094,0.405527198,16,21294947,R,I,CRYM,5'UTR,shore,5'UTR-shore,chr16:21294980-21295414,,,,,,0.482619714,0.32,0.952965235173824,hyper,0.9128853754940711
cg24302235,0.438606613,0.499614019,13.98980323,2.6e-38,6.73e-36,75.93803793,0.100450447,0.53905706,0.438606613,3,170746073,R,II,SLC2A2,TSS1500,island,TSS1500-island,chr3:170746072-170746292,True,True,,,,0.482269913,0.19,0.9549180327868853,hyper,0.9356521739130436
cg21526205,0.382585958,0.481895301,13.9876156,2.66e-38,6.87e-36,75.91541209,0.133714555,0.516300513,0.382585958,1,76540574,R,I,ST6GALNAC3,Body,island,Body-island,chr1:76540147-76540653,True,,,,,0.481788655,0.15,0.9637096774193548,hyper,0.9049802371541502
cg25307318,0.393327522,0.63756941,16.10857405,3.52e-48,6e-45,98.56245538,0.279613068,0.67294059,0.393327522,10,123923081,R,II,TACC2,Body,island,Body-island,chr10:123922850-123923542,,True,high-CpG:123912997-123913135,,,0.48102831,0.39,0.9656565656565655,hyper,0.8912252964426878
cg23477967,0.417470394,0.525123241,13.21945486,7.030000000000001e-35,9.71e-33,68.07927109,0.145195148,0.562665542,0.417470394,2,188419087,F,II,TFPI,1stExon,opensea,1stExon-opensea,,,True,,,,0.480479799,0.25,0.931106471816284,hyper,0.9027667984189723
cg24167314,0.402137505,0.543795374,11.54956186,8.4e-28,3.7e-26,51.88540932,0.177821313,0.579958818,0.402137505,12,103311500,R,II,PAH,TSS200,shore,TSS200-shore,chr12:103311040-103311253,,True,,,,0.480435474,0.34,0.8984881209503239,hyper,0.8733596837944666
cg05661282,0.398763858,0.530144837,16.97684584,2.2599999999999998e-52,9.43e-49,108.1800028,0.167241039,0.566004896,0.398763858,19,58220370,R,I,ZNF154,5'UTR,island,5'UTR-island,chr19:58220189-58220517,True,,,,rs10559485,0.479850715,0.31,0.959349593495935,hyper,0.9236363636363636
cg05769889,0.398876408,0.543938469,13.39435553,1.1900000000000001e-35,1.89e-33,69.84384231,0.180932242,0.57980865,0.398876408,12,89744701,R,I,DUSP6,Body,shore,Body-shore,chr12:89745168-89748144,,,low-CpG:88268599-88268847,,rs61754239,0.47815569,0.34,0.9308176100628932,hyper,0.9002371541501976
cg24013620,0.398142935,0.525558254,15.5964511,9.609999999999999e-46,1.0399999999999998e-42,92.97504982,0.163219539,0.561362475,0.398142935,8,144798688,F,I,MAPK15,Body,island,Body-island,chr8:144798487-144799038,,True,,,,0.478020512,0.2,0.9718875502008032,hyper,0.9230039525691701
cg14936968,0.39834322,0.553075326,16.40118231,1.38e-49,3.2399999999999998e-46,101.7843133,0.190554338,0.588897558,0.39834322,3,57198533,F,I,IL17RD,Body,island,Body-island,chr3:57198243-57199378,,,,,,0.47717792,0.42,0.9375,hyper,0.9117786561264822
cg21799346,0.388708471,0.49078097,13.54312439,2.61e-36,4.61e-34,71.35407303,0.137028297,0.525736768,0.388708471,11,2905372,R,I,CDKN1C,Body,island,Body-island,chr11:2905023-2907024,,,,,rs68019446,0.476757335,0.3,0.9148936170212766,hyper,0.9226877470355732
cg13123964,0.422605377,0.612422871,15.28416439,2.8400000000000013e-44,2.29e-41,89.60235922,0.227821575,0.650426952,0.422605377,8,38323238,F,II,FGFR1,5'UTR,shore,5'UTR-shore,chr8:38323719-38324070,,,,,rs12541403,0.476671486,0.43,0.9375,hyper,0.91098814229249
cg20384898,0.407466484,0.501571651,13.87984504,8.15e-38,1.92e-35,74.80288563,0.130747836,0.538214321,0.407466484,6,1625111,F,II,GMDS,Body,island,Body-island,chr6:1624185-1625468,True,,,,,0.475575052,0.24,0.9527720739219712,hyper,0.9078260869565218
cg02639634,0.399972538,0.585893088,15.53598859,1.85e-45,1.86e-42,92.31994852,0.221889303,0.621861841,0.399972538,8,54792161,F,II,RGS20,Body,island,Body-island,chr8:54791845-54795141,,,,,,0.475243393,0.31,0.9656565656565655,hyper,0.9109881422924901
cg09038676,0.410643148,0.602909829,16.05944319,6.04e-48,1e-44,98.02352112,0.229195022,0.63983817,0.410643148,11,67351608,F,II,GSTP1,Body,island,Body-island,chr11:67350928-67351953,True,,,rs8191444,,0.475132927,0.45,0.9443298969072164,hyper,0.912094861660079
cg08421126,0.391410063,0.58952271,10.9789372,1.64e-25,5.2299999999999995e-24,46.65325629,0.233311394,0.624721457,0.391410063,2,43019854,R,II,HAAO,TSS200,island,TSS200-island,chr2:43019665-43020509,,,high-CpG:42873185-42873845,,,0.475001655,0.23,0.925,hyper,0.867193675889328
cg21623671,0.406364468,0.56861139,14.298712,1.03e-39,3.44e-37,79.14967405,0.198790489,0.605154957,0.406364468,5,150536851,F,II,ANXA6,5'UTR,shore,5'UTR-shore,chr5:150537019-150537418,,,,,,0.474970587,0.36,0.9355509355509356,hyper,0.9043478260869565
cg03796321,0.409456766,0.588017663,15.57293879,1.2399999999999999e-45,1.2999999999999998e-42,92.72017966,0.215382549,0.624839315,0.409456766,15,86162442,F,II,AKAP13,Body,opensea,Body-opensea,,,True,,rs16942230,,0.474016886,0.36,0.9551020408163268,hyper,0.908300395256917
cg14188232,0.39077112,0.574677122,14.46488626,1.79e-40,6.99e-38,80.89072952,0.21904729,0.60981841,0.39077112,15,68724065,F,II,ITGA11,Body,island,Body-island,chr15:68723367-68724691,True,,,,,0.473818593,0.4,0.9355509355509356,hyper,0.8937549407114624
cg23230584,0.38374278,0.489381656,16.94554524,3.2e-52,1.3099999999999999e-48,107.8304072,0.140148118,0.523890899,0.38374278,7,95025740,F,I,PON3,TSS200,island,TSS200-island,chr7:95025559-95026122,,,,,,0.473357328,0.29,0.952965235173824,hyper,0.916205533596838
cg07016276,0.40410256,0.567067634,17.24358989,1.13e-53,5.88e-50,111.1673678,0.199305233,0.603407793,0.40410256,6,29692009,F,I,HLA-F,Body,island,Body-island,chr6:29691106-29692093,True,True,,rs3087327,,0.473347128,0.35,0.959349593495935,hyper,0.9083003952569171
cg21883802,0.384787581,0.505551574,14.27291143,1.35e-39,4.390000000000001e-37,78.88018162,0.155367194,0.540154774,0.384787581,14,92413706,R,I,FBLN5,5'UTR,island,5'UTR-island,chr14:92413581-92414324,True,,,,,0.472369481,0.35,0.9148936170212766,hyper,0.9128853754940711
cg03317517,0.38401096,0.574920763,14.12391369,6.44e-39,1.86e-36,77.32829928,0.225443163,0.609454123,0.38401096,19,20188803,F,II,ZNF90,1stExon,opensea,1stExon-opensea,,True,,low-CpG:20049773-20049820,rs73536227,,0.47229751,0.33,0.9443298969072164,hyper,0.908616600790514
