CpG,early_dbeta,later_dbeta,dbate_dif
cg23915197,-0.086567885,-0.185152066,0.098584181
cg12591625,0.008848728,-0.089344573,0.098193301
cg06993703,0.105728865,0.00764598,0.098082885
cg26429655,0.112194965,0.014194462,0.098000503
cg13404951,-0.016597114,-0.114587846,0.097990732
cg13218831,-0.058736661,-0.156322516,0.097585855
cg23772205,0.082280045,-0.015297047,0.097577092
cg08339159,-0.158598778,-0.256057936,0.097459158
cg03031009,-0.082463617,-0.179775509,0.097311892
cg19194373,0.13565319,0.038500172,0.097153018
cg11832281,-0.093710303,-0.19069959,0.096989287
cg27510832,0.102244985,0.005341004,0.096903981
cg06841902,-0.069281848,-0.16608437,0.096802522
cg07519816,0.148745677,0.052326422,0.096419255
cg15892176,-0.035362126,-0.131689184,0.096327058
cg16729415,0.115589628,0.019516679,0.096072949
cg26845108,-0.074728648,-0.170622964,0.095894316
cg12437148,0.158882538,0.062989451,0.095893087
cg04949632,0.095872337,4.5e-05,0.095827337
cg11045524,0.430066141,0.334435014,0.095631127
cg14058698,-0.014466839,-0.109925513,0.095458674
cg27264484,0.103737659,0.008444564,0.095293095
cg27421939,0.091840403,-0.003221303,0.095061706
cg06264868,-0.062409984,-0.157414535,0.095004551
cg18290075,-0.037001297,-0.131962945,0.094961648
cg08234308,0.110207041,0.015304495,0.094902546
cg07985589,-0.085581743,-0.180190757,0.094609014
cg16658473,-0.099627645,-0.194080761,0.094453116
cg12034383,0.098568634,0.004204656,0.094363978
cg08825837,0.096911528,0.002643548,0.09426798
cg01489419,-0.027569111,-0.121834072,0.094264961
cg03283235,-0.007979509,-0.102176292,0.094196783
cg05773207,-0.122787184,-0.216775512,0.093988328
cg18748085,-0.110050758,-0.203820796,0.093770038
cg11231042,-0.033825678,-0.127506326,0.093680648
cg00178850,0.282115841,0.188518675,0.093597166
cg17404289,-0.078103076,-0.171513448,0.093410372
cg05080154,0.094839898,0.001528546,0.093311352
cg22862734,-0.107613998,-0.2009234,0.093309402
cg14255256,0.114870682,0.02163618,0.093234502
cg09655876,-0.005879292,-0.09910484,0.093225548
cg16836250,-0.122164095,-0.215384096,0.093220001
cg19825203,-0.100058766,-0.193238798,0.093180032
cg17772212,-0.019667958,-0.112788301,0.093120343
cg02902865,0.154845162,0.062167788,0.092677374
cg06659727,0.105000743,0.012602929,0.092397814
cg03673470,-0.113657,-0.205855587,0.092198587
cg10824972,-0.125504896,-0.217554441,0.092049545
cg12052613,-0.056988608,-0.149002717,0.092014109
cg00843019,-0.092772607,-0.184659874,0.091887267
cg05075545,-0.150461775,-0.242254229,0.091792454
cg15677293,0.283589859,0.19185275,0.091737109
cg01449756,-0.072418056,-0.164025313,0.091607257
cg21292587,-0.083222038,-0.174325645,0.091103607
cg22196610,0.082434949,-0.008523643,0.090958592
cg01593190,0.119567137,0.029092569,0.090474568
cg26617611,-0.04616701,-0.13658235,0.09041534
cg14472551,-0.108855062,-0.199257481,0.090402419
cg17894088,0.14818531,0.057848196,0.090337114
cg25954539,0.06886695,-0.021391428,0.090258378
cg17028067,-0.071112344,-0.161314854,0.09020251
cg17484671,0.113330052,0.023217425,0.090112627
cg26578621,0.112567906,0.022478734,0.090089172
cg21332729,0.101458003,0.011558773,0.08989923
cg15610202,-0.07256552,-0.162160001,0.089594481
cg13909534,0.091595831,0.002091667,0.089504164
cg15841063,0.091160087,0.001665659,0.089494428
cg18147215,0.07309645,-0.016324815,0.089421265
cg06159352,0.125677501,0.03638916,0.089288341
cg09677243,0.123768469,0.034967661,0.088800808
cg00846554,-0.015297663,-0.104035745,0.088738082
cg23714773,-0.091353358,-0.180004291,0.088650933
cg14218275,-0.044925715,-0.133524025,0.08859831
cg00620976,-0.080053299,-0.168529141,0.088475842
cg23044087,-0.099471875,-0.187929867,0.088457992
cg17341904,-0.024391589,-0.112649239,0.08825765
cg10278552,-0.03972628,-0.127929892,0.088203612
cg14950747,0.025534671,-0.062656245,0.088190916
cg13894813,-0.043056363,-0.131226103,0.08816974
cg20265043,0.129546311,0.041403394,0.088142917
cg13458407,0.119341521,0.031200921,0.0881406
cg04021098,-0.06996355,-0.158025481,0.088061931
cg23498518,-0.047498407,-0.135557197,0.08805879
cg06906435,-0.161175681,-0.248748285,0.087572604
cg27420946,-0.01883226,-0.106392835,0.087560575
cg14413533,0.012377042,-0.075168102,0.087545144
cg13995230,0.008665264,-0.078864749,0.087530013
cg03555730,0.125051001,0.037809003,0.087241998
cg07601093,-0.041683281,-0.12890938,0.087226099
cg12710531,-0.117313704,-0.204433473,0.087119769
cg06320150,-0.060241013,-0.147309082,0.087068069
cg14752227,0.020183976,-0.066736578,0.086920554
cg14283802,-0.179009754,-0.265666279,0.086656525
cg16772207,-0.131722868,-0.217941148,0.08621828
cg09583036,-0.148337572,-0.234403944,0.086066372
cg13974632,0.107711536,0.021972033,0.085739503
cg04389921,-0.055659822,-0.141392443,0.085732621
cg20490773,-0.010233775,-0.095951114,0.085717339
cg14080967,0.114495527,0.028822422,0.085673105
cg18997901,-0.068337485,-0.153873297,0.085535812
cg10749994,0.137150001,0.051682959,0.085467042
cg00163018,-0.087034565,-0.172349498,0.085314933
cg15733049,-0.020344368,-0.105636148,0.08529178
cg13937208,0.069964398,-0.015312638,0.085277036
cg17356750,-0.13315641,-0.218401868,0.085245458
cg17495719,0.119768182,0.034641372,0.08512681
cg13501616,-0.110334992,-0.195403294,0.085068302
cg25147632,-0.092608111,-0.177320579,0.084712468
cg05369766,-0.130544919,-0.215218407,0.084673488
cg17382198,0.090543557,0.005888763,0.084654794
cg25225379,-0.081397368,-0.165917371,0.084520003
cg00083993,-0.112875193,-0.197296982,0.084421789
cg11975608,-0.08003151,-0.16425366,0.08422215
cg20616414,0.064585506,-0.019540953,0.084126459
cg10315903,-0.010958268,-0.095073541,0.084115273
cg09845293,-0.040558653,-0.124574099,0.084015446
cg02008627,-0.154424809,-0.238386575,0.083961766
cg10580513,-0.00262251,-0.086546726,0.083924216
cg05697976,-0.022711284,-0.106545205,0.083833921
cg01888566,0.04720197,-0.036529875,0.083731845
cg25015139,-0.019657049,-0.103365159,0.08370811
cg02946850,-0.119949104,-0.203480994,0.08353189
cg08167466,-0.137132216,-0.220649695,0.083517479
cg16490191,-0.035289663,-0.118725621,0.083435958
cg18479972,0.170220659,0.087119831,0.083100828
cg25881719,0.125563252,0.042480699,0.083082553
cg18881723,-0.040415021,-0.123442565,0.083027544
cg10792202,0.093064613,0.010116658,0.082947955
cg15123984,0.079019308,-0.003912629,0.082931937
cg18401313,-0.035723405,-0.118638924,0.082915519
cg02071005,0.137486557,0.054688864,0.082797693
cg12298241,-0.050282312,-0.13282512,0.082542808
cg17907056,0.010024102,-0.072494629,0.082518731
cg12728791,-0.130874507,-0.21331478,0.082440273
cg10608230,-0.010828115,-0.093244588,0.082416473
cg02862505,0.177508853,0.095226083,0.08228277
cg05891292,-0.026479346,-0.108578489,0.082099143
cg20045155,-0.042470706,-0.12455381,0.082083104
cg10143731,-0.058740009,-0.14072703,0.081987021
cg03543314,0.087694201,0.005788172,0.081906029
cg26799474,-0.109795637,-0.191597,0.081801363
cg09291834,0.103315315,0.021533312,0.081782003
cg12906381,0.068517592,-0.013226575,0.081744167
cg07936950,0.012245695,-0.069449706,0.081695401
cg18748888,-0.126952693,-0.208581892,0.081629199
cg14992768,-0.095840173,-0.177451338,0.081611165
cg25350097,-0.094296896,-0.175673569,0.081376673
cg02898500,-0.037875108,-0.119210586,0.081335478
cg24532610,-0.039612201,-0.120835759,0.081223558
cg15703970,-0.15442819,-0.2356041,0.08117591
cg20465661,-0.060154794,-0.141267791,0.081112997
cg10791343,-0.051728103,-0.132816232,0.081088129
cg04311403,0.246419453,0.165447496,0.080971957
cg07216647,-0.038708026,-0.119570988,0.080862962
cg16776350,-0.088642148,-0.169467516,0.080825368
cg15454811,-0.03798012,-0.118755918,0.080775798
cg20479774,0.09591905,0.01527374,0.08064531
cg02767665,-0.01696699,-0.097517334,0.080550344
cg01516881,0.144595956,0.06406431,0.080531646
cg05625687,-0.048089529,-0.128581655,0.080492126
cg22285878,0.059568992,-0.020778548,0.08034754
cg15201545,0.138335152,0.058029127,0.080306025
cg12854428,-0.153655496,-0.233938375,0.080282879
cg16864819,-0.092469812,-0.172594109,0.080124297
cg04654429,0.018838132,-0.061223678,0.08006181
cg11400774,0.276993306,0.197062347,0.079930959
cg07418892,-0.120805719,-0.200691576,0.079885857
cg00493609,0.026134826,-0.05372339,0.079858216
cg00883837,-0.009405623,-0.089218386,0.079812763
cg13298389,-0.052973665,-0.132688634,0.079714969
cg17067544,-0.14709099,-0.226797344,0.079706354
cg16309319,-0.101066977,-0.180720181,0.079653204
cg06256858,0.086832509,0.007203051,0.079629458
cg08878567,-0.189560461,-0.269172565,0.079612104
cg16269431,0.093178056,0.013674536,0.07950352
cg22561013,-0.019321166,-0.098805122,0.079483956
cg14303478,-0.02635116,-0.105725795,0.079374635
cg02490589,-0.080050954,-0.159367556,0.079316602
cg02721902,0.059155431,-0.020082357,0.079237788
cg12992686,0.109176661,0.029991105,0.079185556
cg06242012,-0.014608402,-0.093789442,0.07918104
cg11108269,0.09084542,0.011690012,0.079155408
cg17939059,-0.060806416,-0.139945157,0.079138741
cg07691624,-0.031945703,-0.110998169,0.079052466
cg27255672,-0.055562868,-0.134602385,0.079039517
cg04847638,-0.070288734,-0.14931732,0.079028586
cg09935282,0.114803423,0.035791854,0.079011569
cg07495027,-0.015453175,-0.094229256,0.078776081
cg00910015,-0.222810248,-0.301563184,0.078752936
cg13015925,0.118545021,0.03986662,0.078678401
cg04745064,-0.137187009,-0.215826673,0.078639664
cg20033652,-0.004354615,-0.082980684,0.078626069
cg24974845,-0.121822386,-0.20044235,0.078619964
cg03048432,-0.037938377,-0.116508429,0.078570052
cg08334984,0.082957303,0.00440765,0.078549653
cg16645133,0.089975196,0.011461924,0.078513272
cg24176383,-0.047669236,-0.126177687,0.078508451
cg18865080,-0.191035652,-0.269522823,0.078487171
cg04768958,-0.054829574,-0.133298258,0.078468684
cg01124132,0.049145852,-0.029313252,0.078459104
cg10584024,-0.070337939,-0.148792347,0.078454408
cg16307674,0.071433601,-0.0069829,0.078416501
cg06846214,-0.014167992,-0.092441278,0.078273286
cg04599026,0.141026881,0.062791265,0.078235616
cg18682226,-0.004025568,-0.082207176,0.078181608
cg08274073,-0.019568817,-0.097701053,0.078132236
cg00566899,-0.075070579,-0.153055585,0.077985006
cg21115558,-0.03497288,-0.112825097,0.077852217
cg10651502,-0.069382912,-0.147119391,0.077736479
cg22700220,-0.115899248,-0.193554233,0.077654985
cg10006887,-0.001285096,-0.078898112,0.077613016
cg00464796,-0.072504126,-0.150116768,0.077612642
cg12222752,-0.017065749,-0.09459002,0.077524271
cg04211581,-0.038055289,-0.115562997,0.077507708
cg18822243,-0.013171785,-0.0904634,0.077291615
cg13405775,-0.008238982,-0.085513196,0.077274214
cg18087023,-0.117429914,-0.19464188,0.077211966
cg00787290,-0.143848265,-0.221039138,0.077190873
cg19514694,0.13495739,0.057802104,0.077155286
cg01198491,-0.103985759,-0.181108829,0.07712307
cg23453435,-0.090517461,-0.167593874,0.077076413
cg25242988,-0.052040014,-0.129088708,0.077048694
cg17993092,-0.010688204,-0.087651517,0.076963313
cg00098750,-0.125616123,-0.202560341,0.076944218
cg12047425,-0.232268052,-0.309164914,0.076896862
cg14932313,-0.006746412,-0.083624194,0.076877782
cg14627172,0.066717219,-0.010134623,0.076851842
cg18405691,-0.089581254,-0.166382208,0.076800954
cg09556043,0.107686958,0.030946184,0.076740774
cg19368016,-0.12730085,-0.203973066,0.076672216
cg19356825,0.095983391,0.019357468,0.076625923
cg03245734,0.128105666,0.051543051,0.076562615
cg05877048,-0.059352878,-0.135858225,0.076505347
cg08926571,-0.136911711,-0.21338639,0.076474679
cg09777637,-0.093364451,-0.169814056,0.076449605
cg19800155,-0.02892673,-0.105344116,0.076417386
cg26831825,-0.123843441,-0.200246359,0.076402918
cg05222216,-0.035248406,-0.11164282,0.076394414
cg00149976,0.084020787,0.00764914,0.076371647
cg04420335,-0.058135934,-0.134404669,0.076268735
cg22911315,-0.023855722,-0.100041824,0.076186102
cg12828073,-0.152777008,-0.228962474,0.076185466
cg00223136,-0.023001686,-0.099182237,0.076180551
cg16202419,-0.158796141,-0.234899474,0.076103333
cg18629583,0.000135033,-0.075956127,0.07609116
cg05647859,0.076300176,0.000255623,0.076044553
cg26536999,-0.040868457,-0.116843479,0.075975022
cg15842898,-0.122299362,-0.198255292,0.07595593
cg03437151,-0.041065596,-0.116982894,0.075917298
cg14479704,-0.068669112,-0.14451441,0.075845298
cg13219552,-0.096170139,-0.171958784,0.075788645
cg19530845,-0.077608294,-0.153385388,0.075777094
cg00458927,0.000285567,-0.075474916,0.075760483
cg04745004,-0.016833224,-0.092567766,0.075734542
cg16332936,0.038663477,-0.037063587,0.075727064
cg16530587,0.00764021,-0.068084521,0.075724731
cg26464882,0.101947426,0.026322983,0.075624443
cg05770446,-0.034990107,-0.110579949,0.075589842
cg00948900,-0.000530647,-0.076093182,0.075562535
cg10071275,-0.051803152,-0.127339754,0.075536602
cg03705912,0.074856009,-0.000650283,0.075506292
cg17261125,-0.150717349,-0.22611586,0.075398511
cg14377720,0.02319338,-0.052151295,0.075344675
cg27535690,-0.032858502,-0.108093071,0.075234569
cg21829239,0.019634653,-0.055596612,0.075231265
cg15458801,-0.083013775,-0.158218115,0.07520434
cg09130077,0.20273283,0.127597448,0.075135382
cg03770575,-0.132603263,-0.207678649,0.075075386
cg27581212,0.002194651,-0.072872404,0.075067055
cg02662003,0.129021215,0.05420131,0.074819905
cg03047995,0.071344103,-0.003463597,0.0748077
cg09579151,-0.076597871,-0.151385597,0.074787726
cg08989564,-0.044856661,-0.119527263,0.074670602
cg24752644,0.076943334,0.002321895,0.074621439
cg15981092,0.111743727,0.037161788,0.074581939
cg03790312,-0.082617251,-0.1571123,0.074495049
cg03533519,0.14758539,0.073114519,0.074470871
cg13718278,0.008387861,-0.066042351,0.074430212
cg17315844,-0.249867665,-0.324265106,0.074397441
cg02378847,0.140875574,0.066516964,0.07435861
cg13816734,-0.101862314,-0.176190858,0.074328544
cg20419735,0.079660267,0.005439053,0.074221214
cg08946713,0.125440194,0.051237083,0.074203111
cg26237512,0.085839562,0.011682283,0.074157279
cg20899379,-0.058600155,-0.13274341,0.074143255
cg17352891,-0.090826579,-0.16491452,0.074087941
cg02951552,0.206826727,0.132883444,0.073943283
cg22524373,-0.080333911,-0.154261271,0.07392736
cg09762252,0.103712832,0.02987179,0.073841042
cg04249706,0.373793833,0.300033062,0.073760771
cg26777729,-0.011704884,-0.085459874,0.07375499
cg20761187,-0.018771194,-0.092393028,0.073621834
cg17684765,-0.180384284,-0.253988598,0.073604314
cg12311175,-0.154727121,-0.228307977,0.073580856
cg09427273,-0.020173281,-0.093700505,0.073527224
cg06868132,-0.194849477,-0.268282521,0.073433044
cg10911160,0.080738051,0.007333712,0.073404339
cg00243661,-0.252383412,-0.325753149,0.073369737
cg10428982,-0.083713252,-0.157076333,0.073363081
cg07014174,-0.186583905,-0.259920659,0.073336754
cg12226135,-0.047608841,-0.120926221,0.07331738
cg19861260,-0.041845301,-0.115020613,0.073175312
cg00166915,-0.066786137,-0.13991286,0.073126723
cg21025142,-0.190845842,-0.263922689,0.073076847
cg16397701,-0.082011973,-0.155031492,0.073019519
cg11205072,0.082137652,0.009203765,0.072933887
cg23748352,-0.096200326,-0.168991977,0.072791651
cg03222834,-0.168584589,-0.241316532,0.072731943
cg19718771,-0.164471465,-0.237203171,0.072731706
cg08541457,-0.090292368,-0.162992273,0.072699905
cg19206040,0.117310226,0.044615034,0.072695192
cg04052934,-0.009569884,-0.08219492,0.072625036
cg14310533,-0.067921705,-0.1405179,0.072596195
cg17868723,-0.079974379,-0.152527248,0.072552869
cg07012999,0.240031716,0.167529411,0.072502305
cg11856334,-0.034238823,-0.106713474,0.072474651
cg10884142,-0.080013276,-0.152472503,0.072459227
cg00991794,0.075695789,0.003268476,0.072427313
cg01659038,-0.059623842,-0.132042332,0.07241849
cg04768425,0.044321387,-0.028046204,0.072367591
cg00235786,-0.045120595,-0.117470873,0.072350278
cg25412387,-0.074223489,-0.146563498,0.072340009
cg19764345,0.513287631,0.440951472,0.072336159
cg06826289,-0.06718057,-0.139493657,0.072313087
cg19400238,-0.003707142,-0.076012421,0.072305279
cg18657751,-0.095041687,-0.167312089,0.072270402
cg25940239,-0.06046751,-0.132696555,0.072229045
cg16648887,-0.045100422,-0.117296634,0.072196212
cg02878385,-0.06861627,-0.140713561,0.072097291
cg01999333,-0.165773858,-0.23784721,0.072073352
cg26953954,-0.047773754,-0.119845638,0.072071884
cg27108629,0.072376746,0.000332619,0.072044127
cg22036988,0.149965552,0.077929825,0.072035727
cg27127017,0.067063891,-0.004966707,0.072030598
cg11414560,0.101320187,0.029306982,0.072013205
cg20535085,-0.034434576,-0.106430134,0.071995558
cg05241924,0.121092397,0.049175081,0.071917316
cg17440085,-0.132215039,-0.204114257,0.071899218
cg27566805,-0.040022131,-0.111879096,0.071856965
cg23075139,-0.127373698,-0.199229698,0.071856
cg21159370,0.127100273,0.055260718,0.071839555
cg15329510,-0.105419375,-0.177248646,0.071829271
cg25310555,-0.032394494,-0.104049602,0.071655108
cg20422099,0.159414751,0.08779043,0.071624321
cg00434535,-0.108160505,-0.179740727,0.071580222
cg01389283,-0.023878255,-0.095447,0.071568745
cg15590780,-0.115380513,-0.186839056,0.071458543
cg12488005,-0.067811773,-0.139216656,0.071404883
cg11838827,-0.098972108,-0.170349255,0.071377147
cg01703246,-0.098383788,-0.169757665,0.071373877
cg11484413,-0.134520856,-0.205859538,0.071338682
cg08160063,-0.128122751,-0.199439964,0.071317213
cg24969778,-0.060299159,-0.131582307,0.071283148
cg13740834,-0.116394072,-0.187666866,0.071272794
cg00204748,-0.012055186,-0.083225898,0.071170712
cg14260889,-0.123708372,-0.194836377,0.071128005
cg25527882,-0.027166327,-0.098182088,0.071015761
cg19961312,-0.076155626,-0.147140278,0.070984652
cg12002303,0.121294784,0.050330279,0.070964505
cg02601249,-0.115173416,-0.186032445,0.070859029
cg14468177,-0.071939453,-0.142699858,0.070760405
cg07069759,-0.152253541,-0.222976698,0.070723157
cg11075561,-0.041901158,-0.112578742,0.070677584
cg16960593,-0.142428382,-0.213089641,0.070661259
cg15804426,-0.040102082,-0.110693067,0.070590985
cg00876273,0.140923293,0.070362091,0.070561202
cg23207876,-0.119724656,-0.190255444,0.070530788
cg06055561,-0.028601591,-0.099123658,0.070522067
cg05935520,-0.096566977,-0.167064084,0.070497107
cg15241708,-0.147206617,-0.217678568,0.070471951
cg18822950,0.13573305,0.065330875,0.070402175
cg05578056,0.08047879,0.010122258,0.070356532
cg10689409,-0.019565372,-0.089914273,0.070348901
cg09847250,-0.060579619,-0.130880325,0.070300706
cg10156274,0.035386819,-0.034907397,0.070294216
cg13963735,-0.114107827,-0.184393865,0.070286038
cg10635149,-0.060420025,-0.130677724,0.070257699
cg04585937,-0.011499046,-0.081675448,0.070176402
cg10495227,-0.077852146,-0.148016507,0.070164361
cg20360395,0.076152605,0.00600091,0.070151695
cg15466176,-0.071757433,-0.141903449,0.070146016
cg23287952,-0.145715837,-0.21583695,0.070121113
cg11100126,-0.018193423,-0.08830287,0.070109447
cg14299508,-0.137613427,-0.207705511,0.070092084
cg20379685,-0.161545003,-0.231631218,0.070086215
cg27082921,0.040718275,-0.029367508,0.070085783
cg03330490,0.113609766,0.043540429,0.070069337
cg10638734,-0.123256326,-0.193323595,0.070067269
cg06286796,-0.128571254,-0.198572252,0.070000998
cg03482458,0.223351658,0.153443405,0.069908253
cg02987523,-0.195631802,-0.26552408,0.069892278
cg14339410,-0.136164383,-0.206048449,0.069884066
cg14621161,-0.101942131,-0.171807048,0.069864917
cg25527732,-0.04635475,-0.116196971,0.069842221
cg07385778,0.000932224,-0.068878955,0.069811179
cg23218397,-0.042116046,-0.111834164,0.069718118
cg22611523,-0.149279992,-0.21898621,0.069706218
cg21421270,-0.129040984,-0.19864683,0.069605846
cg18286501,0.110885016,0.041296529,0.069588487
cg09363891,-0.041820286,-0.111389437,0.069569151
cg04459499,-0.117807334,-0.187359083,0.069551749
cg26621790,0.082743906,0.01322403,0.069519876
cg01710351,-0.012846251,-0.082284749,0.069438498
cg02866152,-0.019418025,-0.088844297,0.069426272
cg01974817,0.020182834,-0.049242522,0.069425356
cg18942757,-0.041361424,-0.110777734,0.06941631
cg22307471,-0.114671625,-0.184023988,0.069352363
cg04456892,-0.223496688,-0.292792021,0.069295333
cg17956747,-0.091230972,-0.160482351,0.069251379
cg22108175,0.24482355,0.175573164,0.069250386
cg17333193,-0.144072932,-0.213319748,0.069246816
cg16891431,-0.133515801,-0.20270184,0.069186039
cg21576003,-0.09558625,-0.164760901,0.069174651
cg05369553,-0.105321154,-0.174488922,0.069167768
cg04560213,-0.100057648,-0.169193271,0.069135623
cg20069718,-0.099248325,-0.168343333,0.069095008
cg06671964,-0.0720644,-0.141116335,0.069051935
cg18669388,-0.038753207,-0.107778098,0.069024891
cg13420744,0.160768425,0.091744631,0.069023794
cg25020591,-0.076251286,-0.145245917,0.068994631
cg12598937,-0.132138081,-0.201093502,0.068955421
cg09228327,-0.14865499,-0.217566538,0.068911548
cg13563959,-0.068802095,-0.137690453,0.068888358
cg16119613,-0.108888332,-0.177724554,0.068836222
cg08425177,-0.0791732,-0.148004338,0.068831138
cg13274077,0.070142375,0.001353709,0.068788666
cg01785722,-0.071880493,-0.140639698,0.068759205
cg25457884,0.010342406,-0.058397105,0.068739511
cg19486271,-0.035677213,-0.104395869,0.068718656
cg10948615,-0.021211555,-0.08992888,0.068717325
cg07893900,-0.143218581,-0.211806145,0.068587564
cg05462543,0.083703979,0.015172096,0.068531883
cg15236149,-0.161467101,-0.229988759,0.068521658
cg18510311,-0.093603215,-0.162123374,0.068520159
cg14691921,-0.1330467,-0.20156453,0.06851783
cg15181441,0.038443108,-0.030001352,0.06844446
cg04142010,-0.197476678,-0.265880225,0.068403547
cg04719215,-0.003129537,-0.071440171,0.068310634
cg09476611,0.098914986,0.030624577,0.068290409
cg12297590,0.032506272,-0.035691219,0.068197491
cg20626907,-0.056313095,-0.124494623,0.068181528
cg14361627,-0.006074247,-0.074251348,0.068177101
cg11843304,-0.15438235,-0.222551575,0.068169225
cg10480249,-0.118647223,-0.18681435,0.068167127
cg23753006,-0.266829782,-0.334991032,0.06816125
cg19790543,-0.022572698,-0.090696748,0.06812405
cg12377401,-0.012051177,-0.080173334,0.068122157
cg07342783,-0.033305505,-0.101422993,0.068117488
cg13546223,-0.025499682,-0.093616461,0.068116779
cg20000866,-0.159118138,-0.227212964,0.068094826
cg12913887,-0.027496845,-0.095464547,0.067967702
cg12254415,-0.041101248,-0.109019971,0.067918723
cg06941630,0.065415224,-0.002479689,0.067894913
cg15358752,0.10813805,0.040248376,0.067889674
cg09182533,0.251838934,0.184001914,0.06783702
cg26155032,-0.021783632,-0.089574431,0.067790799
cg11269103,-0.225779923,-0.293557712,0.067777789
cg20453042,-0.03267691,-0.100438205,0.067761295
cg07985933,-0.090620165,-0.158371126,0.067750961
cg06233731,-0.207316533,-0.275037552,0.067721019
cg27433031,-0.036109224,-0.103814714,0.06770549
cg27138812,-0.027545754,-0.095173421,0.067627667
cg26229201,-0.023589172,-0.091208133,0.067618961
cg09597390,-0.123787827,-0.191305523,0.067517696
cg05587926,-0.086070493,-0.153559985,0.067489492
cg13752545,-0.04812644,-0.115561224,0.067434784
cg10831725,-0.075924132,-0.143279473,0.067355341
cg12942155,-0.015049651,-0.082388921,0.06733927
cg04237288,0.045706317,-0.02159426,0.067300577
cg13380669,-0.08324632,-0.150542401,0.067296081
cg26703245,-0.075735906,-0.143022743,0.067286837
cg19707853,-0.021346116,-0.088576885,0.067230769
cg02169859,-0.075152046,-0.142324436,0.06717239
