CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,DNAm,cutpoint,F1,F1_validate,F1_dif,early_dbeta,later_dbeta,dbate_dif
cg25375916,-0.26030245,0.508379422,-11.7979914,8.05e-29,4.1200000000000004e-27,54.21416038,0.745273378,0.484970928,-0.26030245,3,155570275,R,II,SLC33A1,Body,shelf,Body-shelf,chr3:155572358-155572604,,True,,,,-0.294205685,hypo,0.7,0.957403651,0.892857143,-0.064546508,-0.288308643,-0.297033507,0.008724864
cg24513381,-0.279322034,0.566470628,-10.78952428,9.07e-25,2.6299999999999998e-23,44.95394995,0.820673774,0.54135174,-0.279322034,1,170653323,R,II,PRRX1,Body,opensea,Body-opensea,,,True,,,,-0.317486027,hypo,0.8,0.957230143,0.928571429,-0.028658714,-0.297762378,-0.326944151,0.029181773
cg24444631,-0.278894253,0.438716992,-13.1586678,1.3e-34,1.73e-32,67.46881043,0.692530826,0.413636573,-0.278894253,6,29636366,F,II,MOG,3'UTR,opensea,3'UTR-opensea,,,,,rs2535246,,-0.323931302,hypo,0.65,0.955284553,0.981481481,0.026196929,-0.319028885,-0.323953642,0.004924757
cg21148025,-0.29795663,0.532865345,-12.19004236,1.87e-30,1.2399999999999999e-28,57.94891752,0.804027314,0.506070684,-0.29795663,21,19639479,F,II,CHODL,3'UTR,opensea,3'UTR-opensea,,,,,rs1051526,,-0.32364373,hypo,0.78,0.955284553,0.911504425,-0.043780128,-0.314172967,-0.33069545,0.016522483
cg07219844,-0.307389159,0.510731443,-13.21410365,7.42e-35,1.02e-32,68.02547211,0.790477693,0.483088533,-0.307389159,10,135123764,F,II,ZNF511,Body,shore,Body-shore,chr10:135121991-135122669,,,,,,-0.349458615,hypo,0.76,0.955102041,0.894736842,-0.060365199,-0.355196115,-0.349116024,-0.006080091
cg17352276,-0.306118213,0.536831194,-12.64706971,2.1500000000000002e-32,1.93e-30,62.3907259,0.81542079,0.509302578,-0.306118213,15,66795208,R,II,SNORD16,Body,opensea,Body-opensea,,,,,,,-0.347783878,hypo,0.76,0.955102041,0.894736842,-0.060365199,-0.345684276,-0.348790705,0.003106429
cg20985269,-0.27127052,0.516027053,-12.4826246,1.0800000000000001e-31,8.7e-30,60.78190127,0.762902742,0.491632222,-0.27127052,1,158576809,R,II,OR10Z1,1stExon,opensea,1stExon-opensea,,,,,,,-0.310371324,hypo,0.71,0.955102041,0.910714286,-0.044387755,-0.286560458,-0.3217894,0.035228942
cg04554195,-0.274582403,0.367354728,-12.56348378,4.8900000000000005e-32,4.16e-30,61.57151117,0.617244468,0.342662066,-0.274582403,19,52268814,R,II,FPR2,5'UTR,opensea,5'UTR-opensea,,,,,,,-0.298219563,hypo,0.58,0.955102041,0.963636364,0.008534323,-0.294285039,-0.297636061,0.003351022
cg13845105,-0.326667217,0.509714589,-12.73931113,8.61e-33,8.31e-31,63.29824496,0.807005258,0.480338041,-0.326667217,12,112846051,R,II,RPL6,Body,shore,Body-shore,chr12:112846955-112847200,,,,,,-0.3605626,hypo,0.77,0.954918033,0.911504425,-0.043413608,-0.3456399,-0.367718514,0.022078614
cg08174890,-0.276754007,0.612756174,-11.40476949,3.25e-27,1.32e-25,50.54212812,0.864622232,0.587868224,-0.276754007,4,9558077,F,II,MIR548I2,TSS200,opensea,TSS200-opensea,,,,,rs73085434,,-0.308261101,hypo,0.85,0.953156823,0.87826087,-0.074895953,-0.309245747,-0.307788932,-0.001456815
cg10318039,-0.264831139,0.571175827,-10.93167095,2.51e-25,7.84e-24,46.22741991,0.812191216,0.547360077,-0.264831139,7,84671308,F,II,SEMA3D,Body,opensea,Body-opensea,,,,,,,-0.302553355,hypo,0.79,0.953156823,0.963636364,0.010479541,-0.293534107,-0.306878374,0.013344267
cg05492975,-0.334671334,0.598686075,-12.28416287,7.52e-31,5.29e-29,58.85607714,0.903261066,0.568589732,-0.334671334,20,60119508,R,II,CDH4,Body,island,Body-island,chr20:60119507-60119712,,,,,,-0.366388226,hypo,0.86,0.952965235,0.928571429,-0.024393807,-0.354494554,-0.372091625,0.017597071
cg11623855,-0.292800113,0.438640901,-15.43928021,5.3e-45,4.95e-42,91.27421359,0.705110069,0.412309956,-0.292800113,11,33563720,R,II,C11orf41,TSS200,opensea,TSS200-opensea,,,,,,rs78716240,-0.344578975,hypo,0.61,0.952965235,0.911504425,-0.04146081,-0.327451849,-0.354774175,0.027322326
cg25451456,-0.292061216,0.574959566,-10.43194773,2.1799999999999999e-23,5.33e-22,41.79908755,0.840756284,0.548695068,-0.292061216,11,5967520,R,II,OR56A3,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.328273391,hypo,0.82,0.952965235,0.860869565,-0.09209567,-0.319021428,-0.332710005,0.013688577
cg10902514,-0.274596589,0.624294859,-10.05859146,5.62e-22,1.16e-20,38.58168745,0.87419751,0.599600921,-0.274596589,2,188211981,F,II,CALCRL,Body,opensea,Body-opensea,,,,,,,-0.315995682,hypo,0.85,0.952965235,0.81512605,-0.137839185,-0.309385783,-0.31916534,0.009779557
cg20012537,-0.266688119,0.455975975,-13.34065653,2.06e-35,3.15e-33,69.30080392,0.69868135,0.431993231,-0.266688119,10,134928794,F,II,GPR123,Body,shore,Body-shore,chr10:134925815-134926878,,,,,,-0.289551035,hypo,0.64,0.952965235,0.862068966,-0.09089627,-0.285210077,-0.293675572,0.008465495
cg27237541,-0.349888832,0.520482914,-12.39832427,2.4700000000000002e-31,1.8700000000000002e-29,59.96173735,0.838906923,0.489018091,-0.349888832,10,26497739,R,II,MYO3A,Body,shelf,Body-shelf,chr10:26500607-26501126,,,,,,-0.386236132,hypo,0.77,0.952772074,0.928571429,-0.024200645,-0.368746399,-0.394623022,0.025876623
cg18484189,-0.276057451,0.569909285,-12.62568294,2.65e-32,2.3599999999999998e-30,62.18083068,0.821141425,0.545083974,-0.276057451,11,7984973,R,II,NLRP10,1stExon,opensea,1stExon-opensea,,,,,,,-0.307703203,hypo,0.77,0.952772074,0.877192982,-0.075579091,-0.305286,-0.308869148,0.003583148
cg26876834,-0.342818981,0.39282538,-12.84580043,2.9900000000000002e-33,3.13e-31,64.35041632,0.704815317,0.361996335,-0.342818981,16,2013573,F,I,SNHG9,TSS1500,shore,TSS1500-shore,chr16:2014164-2015451,,,,rs72764891,,-0.403467055,hypo,0.65,0.951219512,0.87826087,-0.072958643,-0.384902978,-0.409344064,0.024441086
cg21406461,-0.306174782,0.44092028,-11.47150888,1.74e-27,7.34e-26,51.15999223,0.719561359,0.413386577,-0.306174782,1,158978957,R,II,IFI16,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.352408972,hypo,0.69,0.951020408,0.894736842,-0.056283566,-0.329698426,-0.36329941,0.033600984
cg20908131,-0.282153315,0.638211846,-9.390363494,1.53e-19,2.44e-18,33.02884693,0.894991662,0.612838346,-0.282153315,14,98419775,R,II,C14orf64,Body,opensea,Body-opensea,,,,,,,-0.330856577,hypo,0.9,0.951020408,0.928571429,-0.02244898,-0.328873054,-0.33180774,0.002934686
cg22935609,-0.284277487,0.608124102,-10.79709884,8.47e-25,2.4699999999999997e-23,45.02153577,0.866837066,0.582559579,-0.284277487,6,55989097,R,II,COL21A1,Body,opensea,Body-opensea,,,,,,,-0.327803691,hypo,0.85,0.951020408,0.879310345,-0.071710063,-0.302447848,-0.339962633,0.037514785
cg06483559,-0.272704574,0.514577686,-11.5514756,8.25e-28,3.64e-26,51.90323329,0.762758467,0.490053894,-0.272704574,11,123624914,F,II,OR6X1,1stExon,opensea,1stExon-opensea,,,,,,,-0.31953626,hypo,0.74,0.951020408,0.877192982,-0.073827426,-0.306577071,-0.325750608,0.019173537
cg08786003,-0.317360997,0.582503077,-10.27535664,8.61e-23,1.9600000000000003e-21,40.43994507,0.871324416,0.553963419,-0.317360997,1,157670710,R,II,FCRL3,TSS200,opensea,TSS200-opensea,,,,,,,-0.369029471,hypo,0.86,0.950819672,0.847457627,-0.103362045,-0.345414188,-0.380353759,0.034939571
cg16011217,-0.266708872,0.65844146,-10.96796518,1.81e-25,5.7499999999999995e-24,46.55430053,0.901165721,0.634456849,-0.266708872,1,152777382,R,II,LCE1C,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.286393559,hypo,0.88,0.950819672,0.877192982,-0.07362669,-0.27102205,-0.291075313,0.020053263
cg18478850,-0.33164034,0.469149387,-13.20039339,8.520000000000001e-35,1.16e-32,67.88768631,0.770965955,0.439325616,-0.33164034,5,176982070,F,II,FAM193B,TSS1500,shore,TSS1500-shore,chr5:176980789-176981789,,,,,,-0.370532651,hypo,0.68,0.950617284,0.87826087,-0.072356414,-0.36464688,-0.373337047,0.008690167
cg09705798,-0.328500993,0.563474337,-11.96773651,1.59e-29,9.06e-28,55.82236986,0.862433874,0.533932881,-0.328500993,5,160048394,F,II,ATP10B,Body,opensea,Body-opensea,,,,,rs75739786,,-0.339823644,hypo,0.82,0.950617284,0.894736842,-0.055880442,-0.326314883,-0.34630153,0.019986647
cg11611448,-0.310972129,0.562803389,-11.44336426,2.2700000000000002e-27,9.400000000000001e-26,50.89916168,0.845810398,0.534838269,-0.310972129,2,127453782,F,II,GYPC,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.359589717,hypo,0.82,0.949083503,0.892857143,-0.05622636,-0.352791458,-0.362849701,0.010058243
cg20085588,-0.258043551,0.539669455,-11.06771697,7.28e-26,2.45e-24,47.45628486,0.774507651,0.5164641,-0.258043551,10,81316188,F,II,SFTPA2,3'UTR,opensea,3'UTR-opensea,,,,,rs1136483,rs1059115,-0.287160208,hypo,0.74,0.948875256,0.928571429,-0.020303827,-0.279198363,-0.290978168,0.011779805
cg01348055,-0.282576194,0.469579174,-13.04604158,4.03e-34,4.9300000000000004e-32,66.34165695,0.726743839,0.444167646,-0.282576194,16,10272788,R,II,GRIN2A,Body,shore,Body-shore,chr16:10273943-10277424,,,,,,-0.32845276,hypo,0.67,0.948665298,0.945945946,-0.002719352,-0.310973163,-0.334695061,0.023721898
cg16674248,-0.285516626,0.512408103,-10.89780553,3.41e-25,1.0499999999999999e-23,45.92304476,0.772248773,0.486732147,-0.285516626,22,46664402,F,I,TTC38,Body,shore,Body-shore,chr22:46663605-46664126,,True,,rs9627359,,-0.318955729,hypo,0.74,0.948665298,0.894736842,-0.053928456,-0.314735419,-0.320979504,0.006244085
cg20335735,-0.260801471,0.541616809,-12.48783206,1.03e-31,8.299999999999999e-30,60.8326675,0.778964911,0.518163439,-0.260801471,6,150068006,R,II,NUP43,TSS1500,shore,TSS1500-shore,chr6:150067323-150067766,,,,,,-0.304438485,hypo,0.71,0.948665298,0.945945946,-0.002719352,-0.30561607,-0.305885812,0.000269742
cg05361290,-0.259053755,0.661983552,-10.04208849,6.47e-22,1.33e-20,38.44133046,0.897741105,0.638687351,-0.259053755,17,13435461,F,II,HS3ST3A1,Body,opensea,Body-opensea,,,True,,rs11078164,,-0.283104969,hypo,0.87,0.948665298,0.830508475,-0.118156823,-0.273567674,-0.287732532,0.014164858
cg14646111,-0.365136561,0.517828014,-12.63978625,2.3100000000000002e-32,2.07e-30,62.31922214,0.850128553,0.484991992,-0.365136561,20,18489660,F,I,SEC23B,5'UTR,shore,5'UTR-shore,chr20:18488084-18488804,,,,,,-0.406460598,hypo,0.78,0.948453608,0.830508475,-0.117945134,-0.396531939,-0.41122171,0.014689771
cg20608990,-0.319319044,0.575001689,-11.27220822,1.11e-26,4.17e-25,49.32154495,0.865604992,0.546285948,-0.319319044,2,202097607,F,II,CASP8,TSS1500,opensea,TSS1500-opensea,,,True,,,,-0.36222302,hypo,0.83,0.948453608,0.963302752,0.014849144,-0.344637807,-0.370655695,0.026017888
cg13177195,-0.292124602,0.547090916,-11.13506538,3.9300000000000004e-26,1.37e-24,48.06821302,0.81294532,0.520820718,-0.292124602,12,41289297,R,II,CNTN1,5'UTR,opensea,5'UTR-opensea,,,,,,,-0.326861953,hypo,0.79,0.946938776,0.945945946,-0.00099283,-0.319642,-0.330324152,0.010682152
cg21336434,-0.29153048,0.525125949,-10.81219432,7.4e-25,2.1699999999999998e-23,45.156321,0.790439659,0.498909179,-0.29153048,7,54271282,F,II,HPVC1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.346012068,hypo,0.76,0.946721311,0.928571429,-0.018149883,-0.321902252,-0.3575735,0.035671248
cg07483086,-0.290829724,0.568676472,-10.86624072,4.54e-25,1.37e-23,45.63989737,0.833352443,0.542522719,-0.290829724,2,150444834,R,II,MMADHC,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.335818642,hypo,0.8,0.946721311,0.910714286,-0.036007026,-0.31931338,-0.343733447,0.024420067
cg26337841,-0.279908768,0.602354135,-9.893703103,2.3000000000000004e-21,4.45e-20,37.18651873,0.857091251,0.577182483,-0.279908768,1,37329331,F,II,GRIK3,Body,opensea,Body-opensea,,,True,,,,-0.324952794,hypo,0.85,0.946721311,0.963636364,0.016915052,-0.322405859,-0.326174131,0.003768272
cg19002907,-0.260440351,0.470363949,-11.6937657,2.16e-28,1.04e-26,53.23351156,0.707383406,0.446943054,-0.260440351,10,115939579,F,II,TDRD1,5'UTR,shore,5'UTR-shore,chr10:115938962-115939292,,True,,,,-0.310107526,hypo,0.66,0.946721311,0.927272727,-0.019448584,-0.305371913,-0.31005318,0.004681267
cg08818866,-0.295153142,0.579473628,-11.50364525,1.2900000000000002e-27,5.55e-26,51.45829875,0.848084221,0.552931079,-0.295153142,2,33415906,R,II,LTBP1,Body,opensea,Body-opensea,,,True,,,,-0.3352798,hypo,0.8,0.946502058,0.911504425,-0.034997633,-0.344375046,-0.330918337,-0.013456709
cg06228763,-0.279962387,0.4863348,-12.45068203,1.48e-31,1.1600000000000001e-29,60.47076157,0.741120713,0.461158327,-0.279962387,7,1773169,F,II,ELFN1,5'UTR,opensea,5'UTR-opensea,,True,,,,,-0.320940469,hypo,0.69,0.946502058,0.87826087,-0.068241188,-0.299793575,-0.331140736,0.031347161
cg26259818,-0.284744628,0.607148444,-10.21569661,1.45e-22,3.2e-21,39.92579472,0.866286541,0.581541913,-0.284744628,1,181632621,F,II,CACNA1E,Body,opensea,Body-opensea,,,True,,,,-0.319288535,hypo,0.84,0.946502058,0.829059829,-0.117442229,-0.300590239,-0.32825497,0.027664731
cg27404351,-0.274114759,0.457097799,-14.47451511,1.6199999999999998e-40,6.37e-38,80.99189355,0.70656195,0.432447191,-0.274114759,11,123847741,F,II,OR10S1,1stExon,opensea,1stExon-opensea,,,,,,,-0.311851453,hypo,0.61,0.946502058,0.894736842,-0.051765216,-0.301542053,-0.316881944,0.015339891
cg01876288,-0.272287543,0.51772319,-11.33353446,6.300000000000001e-27,2.45e-25,49.88511225,0.765524443,0.4932369,-0.272287543,7,158800934,R,II,LOC154822,TSS200,shore,TSS200-shore,chr7:158798591-158799434,,,,,,-0.307431274,hypo,0.72,0.946502058,0.89380531,-0.052696748,-0.319054565,-0.301857532,-0.017197033
cg10076902,-0.261837732,0.445556551,-12.74987548,7.75e-33,7.54e-31,63.40241314,0.683847725,0.422009992,-0.261837732,11,1858135,F,II,SYT8,Body,opensea,Body-opensea,,,,,,,-0.298095869,hypo,0.61,0.946502058,0.945945946,-0.000556112,-0.293232348,-0.308668547,0.015436199
cg01153946,-0.315950149,0.483090541,-12.68546008,1.4700000000000002e-32,1.3599999999999999e-30,62.76799008,0.770627906,0.454677757,-0.315950149,20,37062621,F,II,LOC388796,Body,shore,Body-shore,chr20:37063525-37064106,,,,rs6070129,,-0.358924613,hypo,0.68,0.946280992,0.911504425,-0.034776567,-0.345198664,-0.365418992,0.020220328
cg10222925,-0.312071868,0.593994192,-10.19913866,1.6700000000000001e-22,3.6700000000000006e-21,39.78346051,0.878002044,0.565930176,-0.312071868,8,88885186,R,II,DCAF4L2,1stExon,shore,1stExon-shore,chr8:88886171-88886445,,,,,,-0.350588452,hypo,0.84,0.946280992,0.894736842,-0.05154415,-0.32994294,-0.360488639,0.030545699
cg08564874,-0.303345481,0.567366537,-11.46696731,1.82e-27,7.64e-26,51.11787647,0.843432748,0.540087267,-0.303345481,7,34696723,F,II,NPSR1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.341743561,hypo,0.79,0.946280992,0.81512605,-0.131154941,-0.320438377,-0.351960082,0.031521705
cg02526439,-0.299009402,0.641345212,-10.45247105,1.8199999999999997e-23,4.49e-22,41.97824699,0.91346528,0.614455877,-0.299009402,8,89053427,F,II,MMP16,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.32577576,hypo,0.9,0.946280992,0.81512605,-0.131154941,-0.314572531,-0.331148069,0.016575538
cg26282761,-0.280883745,0.590165135,-11.11866328,4.57e-26,1.58e-24,47.91896605,0.84578955,0.564905806,-0.280883745,10,128193219,R,II,C10orf90,Body,shore,Body-shore,chr10:128193311-128193531,,,,,,-0.317022593,hypo,0.82,0.946280992,0.927272727,-0.019008264,-0.314952861,-0.318015096,0.003062235
cg03825810,-0.272846596,0.590510386,-10.50387683,1.16e-23,2.92e-22,42.42803134,0.838820417,0.565973822,-0.272846596,3,38888170,F,II,SCN11A,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.314969567,hypo,0.82,0.946280992,0.877192982,-0.069088009,-0.293651357,-0.325192334,0.031540977
cg01687040,-0.289633223,0.617636538,-11.00930655,1.24e-25,4.03e-24,46.92748619,0.881223608,0.591590385,-0.289633223,12,55043559,R,II,DCD,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.313844991,hypo,0.83,0.946280992,0.862068966,-0.084212026,-0.308712893,-0.316305997,0.007593104
cg00933411,-0.297740929,0.417948757,-11.44947454,2.14e-27,8.91e-26,50.95575509,0.688914423,0.391173494,-0.297740929,8,13373090,R,II,DLC1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.339542874,hypo,0.65,0.944785276,0.875,-0.069785276,-0.341127078,-0.338783198,-0.00234388
cg21291134,-0.286877943,0.613767083,-9.294693047,3.35e-19,5.13e-18,32.25629274,0.87484665,0.587968706,-0.286877943,1,159558512,F,II,APCS,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.34656399,hypo,0.87,0.944558522,0.894736842,-0.049821679,-0.307841393,-0.365132721,0.057291328
cg05853130,-0.280151977,0.511631131,-10.75492059,1.24e-24,3.5299999999999995e-23,44.64558447,0.766589585,0.486437608,-0.280151977,2,138019701,F,II,THSD7B,Body,opensea,Body-opensea,,,True,,,,-0.311233687,hypo,0.74,0.944558522,0.945945946,0.001387424,-0.29011113,-0.321362632,0.031251502
cg20134541,-0.271246063,0.492543966,-12.34308876,4.24e-31,3.1e-29,59.42605184,0.739397397,0.468151334,-0.271246063,11,67210130,R,I,CORO1B,5'UTR,opensea,5'UTR-opensea,,,,,,,-0.30530287,hypo,0.67,0.944558522,0.862068966,-0.082489556,-0.295118119,-0.321296401,0.026178282
cg14179575,-0.396391931,0.486960725,-15.33255248,1.68e-44,1.42e-41,90.12316106,0.8477059,0.451313969,-0.396391931,18,13826399,R,II,MC5R,1stExon,island,1stExon-island,chr18:13826186-13826523,,,,,rs2236700,-0.466129569,hypo,0.72,0.944329897,0.87826087,-0.066069027,-0.456349828,-0.487332833,0.030983005
cg15721142,-0.332115134,0.537522974,-13.09782814,2.4e-34,3.0500000000000003e-32,66.85929841,0.83977164,0.507656505,-0.332115134,12,133354410,F,I,GOLGA3,Body,opensea,Body-opensea,,,,,rs900443,,-0.397077454,hypo,0.77,0.944329897,0.81512605,-0.129203846,-0.391174171,-0.403870901,0.01269673
cg26522368,-0.340070531,0.476237724,-14.6208142,3.45e-41,1.58e-38,82.53267005,0.785726373,0.445655842,-0.340070531,19,49703932,F,I,TRPM4,Body,shelf,Body-shelf,chr19:49699698-49700070,,,,,,-0.380467255,hypo,0.66,0.944329897,0.87826087,-0.066069027,-0.381464832,-0.384414086,0.002949254
cg18699226,-0.334227151,0.580043886,-10.45800221,1.74e-23,4.29e-22,42.02657196,0.884214639,0.549987488,-0.334227151,7,31980400,F,II,PDE1C,Body,opensea,Body-opensea,,,True,,rs77555134,,-0.374428439,hypo,0.86,0.944329897,0.846153846,-0.098176051,-0.356551054,-0.38300122,0.026450166
cg21643095,-0.286917634,0.56724147,-10.28867212,7.659999999999999e-23,1.75e-21,40.55497601,0.828357158,0.541439525,-0.286917634,11,105009375,F,II,CARD18,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.335659766,hypo,0.8,0.944329897,0.862068966,-0.082260931,-0.320594138,-0.34288422,0.022290082
cg11964006,-0.302123812,0.523647572,-11.58656169,5.93e-28,2.68e-26,52.23033418,0.798601976,0.496478164,-0.302123812,10,53852689,F,II,PRKG1,Body,opensea,Body-opensea,,,True,,rs1904019,,-0.323461053,hypo,0.74,0.944329897,0.87826087,-0.066069027,-0.303755874,-0.33291032,0.029154446
cg08846245,-0.342910149,0.579313783,-12.24846653,1.06e-30,7.3e-29,58.51155448,0.891386688,0.548476539,-0.342910149,6,33169606,F,II,SLC39A7,Body,shore,Body-shore,chr6:33167885-33168715,,,,,,-0.383021307,hypo,0.81,0.944099379,0.894736842,-0.049362537,-0.378854367,-0.385019489,0.006165122
cg06353069,-0.339014567,0.511072976,-12.58305129,4.0300000000000003e-32,3.47e-30,61.76301956,0.819600622,0.480586055,-0.339014567,2,238500081,F,II,RAB17,TSS1500,opensea,TSS1500-opensea,,True,,,,rs35869136,-0.376322811,hypo,0.74,0.944099379,0.927272727,-0.016826652,-0.360739398,-0.383795559,0.023056161
cg14705695,-0.35795043,0.522567048,-11.56704808,7.13e-28,3.17e-26,52.04833768,0.848327691,0.490377261,-0.35795043,11,88911467,F,II,TYR,1stExon,opensea,1stExon-opensea,,,,,rs13312741,rs61753256,-0.375944957,hypo,0.79,0.944099379,0.894736842,-0.049362537,-0.355135613,-0.385923707,0.030788094
cg01388054,-0.306118706,0.510630958,-11.88213263,3.61e-29,1.9500000000000002e-27,55.00963143,0.789221004,0.483102298,-0.306118706,7,48068321,F,II,SUNC1,Body,opensea,Body-opensea,,,,,,,-0.347376067,hypo,0.72,0.942386831,0.945945946,0.003559115,-0.32764231,-0.356839038,0.029196728
cg16581308,-0.292971541,0.51799001,-11.74158239,1.37e-28,6.800000000000001e-27,53.68276426,0.784615189,0.491643648,-0.292971541,4,16862080,R,II,LDB2,Body,opensea,Body-opensea,,,True,,,,-0.333945737,hypo,0.74,0.942386831,0.894736842,-0.047649989,-0.317251298,-0.341951257,0.024699959
cg04221650,-0.285883939,0.573049843,-10.53824156,8.549999999999999e-24,2.19e-22,42.72953365,0.833224795,0.547340856,-0.285883939,1,152681887,R,II,LCE4A,1stExon,opensea,1stExon-opensea,,,,,,rs73011196,-0.313783562,hypo,0.79,0.942386831,0.816666667,-0.125720165,-0.315341777,-0.313036348,-0.002305429
cg27338089,-0.287041789,0.589971233,-12.39962837,2.4400000000000003e-31,1.8500000000000002e-29,59.97440119,0.851199912,0.564158123,-0.287041789,16,29820515,R,II,MAZ,Body,shore,Body-shore,chr16:29818681-29819554,,,,,,-0.332019859,hypo,0.79,0.94214876,0.910714286,-0.031434475,-0.332436928,-0.33181986,-0.000617068
cg13662778,-0.30029373,0.4775592,-11.60316216,5.08e-28,2.31e-26,52.38530798,0.750848098,0.450554368,-0.30029373,4,155533883,R,II,FGG,5'UTR,opensea,5'UTR-opensea,,,,low-CpG:155753207-155753539,,,-0.331454722,hypo,0.68,0.94214876,0.846153846,-0.095994914,-0.31794769,-0.337931778,0.019984088
cg08089153,-0.272882854,0.457410049,-12.89682485,1.8e-33,1.9600000000000001e-31,64.85624488,0.705753078,0.432870224,-0.272882854,11,1956292,F,II,TNNT3,Body,shelf,Body-shelf,chr11:1958934-1959247,,,,rs491040,,-0.306389028,hypo,0.63,0.94214876,0.862068966,-0.080079795,-0.308959096,-0.305156598,-0.003802498
