CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,DNAm,cutpoint,F1
cg20006729,-0.228325296334698,0.592321646048862,-8.9194839411739,6.77168024866421e-18,9.06920600907341e-17,29.2827628816972,0.800114091993749,0.571788795659051,-0.228325296334698,12,7033146,F,II,ATN1,TSS1500,shelf,TSS1500-shelf,chr12:7036955-7037924,,,,rs7310420,,-0.2585810434181707,hypo,0.79,0.9338842975206612
cg23678565,-0.243786958739451,0.531961691698263,-11.0106713572984,1.22511651343856e-25,3.98387896912572e-24,46.9398215531369,0.753825362781288,0.510038404041838,-0.24378695873945,20,52688442,R,II,BCAS1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2910618525567806,hypo,0.67,0.9110169491525424
cg03276883,-0.292643291812108,0.316205185633519,-13.0399128467707,4.28825939601884e-34,5.20240124501537e-32,66.2804679406369,0.582531634656769,0.289888342844661,-0.292643291812108,4,104021583,F,II,BDH2,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3247693076730158,hypo,0.48,0.9333333333333335
cg19750606,-0.246098649316828,0.60451157347427,-10.7315141606578,1.5268469941647101e-24,4.30848689948795e-23,44.4373693181014,0.828479049291384,0.582380399974555,-0.246098649316829,22,32854329,R,II,BPIL2,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2767136526256327,hypo,0.79,0.9374999999999999
cg11623855,-0.292800112967225,0.438640901208791,-15.4392802088535,5.3002508197499994e-45,4.9478433241787795e-42,91.2742135943136,0.705110068765295,0.412309955798069,-0.292800112967226,11,33563720,R,II,C11orf41,TSS200,opensea,TSS200-opensea,,,,,,rs78716240,-0.3445789753612774,hypo,0.61,0.9529652351738241
cg06906435,-0.218839770504249,0.68678651899601,-6.66099408786852,6.557776972805959e-11,4.43549825795017e-10,13.4460227534187,0.885946454023259,0.667106683519009,-0.21883977050425,14,99177777,R,II,C14orf177,TSS200,opensea,TSS200-opensea,,,,,,,-0.2345209141175331,hypo,0.84,0.8221709006928407
cg05933815,-0.221851342868088,0.575234938663129,-10.5226491653343,9.8115863338724e-24,2.49994435268166e-22,42.5926508684355,0.777135621201352,0.555284278333265,-0.221851342868087,16,22012743,R,II,C16orf65,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2371648847017303,hypo,0.67,0.8722466960352423
cg14933439,-0.249759600661825,0.525848974710048,-11.3141788683769,7.53580012200006e-27,2.89788989563225e-25,49.7070345363315,0.753148179628903,0.503388578967078,-0.249759600661825,16,49407794,R,II,C16orf78,TSS200,opensea,TSS200-opensea,,,,,,,-0.2782025412745173,hypo,0.7,0.9419087136929462
cg05202804,-0.219114162506978,0.366207996531151,-11.1168463152659,4.64343198502864e-26,1.6019095185031601e-24,47.9024416203179,0.565617648021314,0.346503485514336,-0.219114162506978,19,11484815,F,II,C19orf39,TSS1500,shore,TSS1500-shore,chr19:11485286-11485769,,,,,,-0.2396972523609667,hypo,0.5,0.9178947368421052
cg18839416,-0.239640608709697,0.464721410318549,-10.9876798044748,1.5103684677221302e-25,4.85191844760826e-24,46.7321506269173,0.682811604575935,0.443170995866238,-0.239640608709697,1,12805849,F,II,C1orf158,TSS1500,opensea,TSS1500-opensea,,,,,rs13375904,,-0.2824760548347818,hypo,0.66,0.9447852760736196
cg19378216,-0.230640889176189,0.580833146919137,-10.5318199058038,9.04649126489977e-24,2.3117343066917697e-22,42.6731427628666,0.790732948939194,0.560092059763005,-0.230640889176189,20,31870775,F,II,C20orf114,TSS200,opensea,TSS200-opensea,,,,,,,-0.2620731983130701,hypo,0.75,0.9291666666666666
cg09685763,-0.214307458377524,0.644004628420594,-9.488740369916,6.82328768391524e-20,1.12766329168195e-18,33.8292318690953,0.839039833346902,0.624732374969378,-0.214307458377524,20,30597590,F,II,C20orf160,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2230919302647773,hypo,0.79,0.9040511727078893
cg10908188,-0.275993515178366,0.543144397491894,-11.0119531216416,1.2108935589177802e-25,3.94069386965971e-24,46.9514072655704,0.794318351952782,0.518324836774415,-0.275993515178366,3,56717798,R,II,C3orf63,TSS1500,shore,TSS1500-shore,chr3:56716492-56717658,,,,,,-0.3056171403125547,hypo,0.7,0.9148936170212766
cg21760990,-0.23079069435536,0.454310468708599,-9.14099603841281,1.1593500758982199e-18,1.678028990856e-17,31.0273001043204,0.664346604219053,0.433555909863692,-0.23079069435536,6,121656542,F,II,C6orf170,TSS1500,shore,TSS1500-shore,chr6:121655615-121656022,,,,,,-0.2465626690386006,hypo,0.59,0.8728070175438597
cg23348723,-0.333587555241055,0.546178900265759,-10.5724941312518,6.30751587495451e-24,1.6450045128161299e-22,43.0307042635098,0.849767574639813,0.516180019398758,-0.333587555241055,7,31725748,F,II,C7orf16,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3577674211709796,hypo,0.81,0.9240506329113924
cg04721098,-0.250525744873738,0.496946504486826,-10.6345485546343,3.63209202513948e-24,9.76705632821729e-23,43.5779773813839,0.724942955756811,0.474417210883073,-0.250525744873738,16,24265703,R,II,CACNG3,TSS1500,shore,TSS1500-shore,chr16:24267040-24267527,,,,,,-0.2800182204106775,hypo,0.62,0.8691796008869179
cg06203976,-0.218900442567237,0.662743716948504,-7.536964993869,1.96935024622869e-13,1.7018017902434e-12,19.1473083601153,0.861958867917967,0.643058425350731,-0.218900442567237,1,159140445,F,II,CADM3,TSS1500,shore,TSS1500-shore,chr1:159141202-159141718,,,,,,-0.2626567832617678,hypo,0.87,0.9182389937106917
cg15102821,-0.235973518517571,0.402495935454876,-11.6412282398523,3.54642006722139e-28,1.65346506554594e-26,52.7411838560116,0.617248813817989,0.381275295300418,-0.235973518517571,1,1844801,F,II,CALML6,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2670632357573027,hypo,0.56,0.9291666666666666
cg01566170,-0.228071216212755,0.508639505481639,-10.0537563630828,5.85387211164036e-22,1.2106959635842001e-20,38.5405486814921,0.716200720236414,0.488129504023658,-0.228071216212756,1,223899746,R,II,CAPN2,TSS1500,shore,TSS1500-shore,chr1:223899990-223900823,,,,,rs77566879,-0.2412833778187753,hypo,0.69,0.9269311064718163
cg01999333,-0.218300337206894,0.664223596930962,-7.91724502901946,1.32898427021113e-14,1.28689229974719e-13,21.8011151292227,0.862892608849466,0.644592271642572,-0.218300337206893,19,15162623,F,II,CASP14,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2162134842781242,hypo,0.82,0.8956521739130435
cg10825847,-0.239960041530837,0.620905298760076,-8.6859120912284,4.20797604320313e-17,5.19718196760747e-16,27.4780835195879,0.839286199865479,0.599326158334641,-0.239960041530837,11,104894216,R,II,CASP5,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2814562943052273,hypo,0.84,0.9246861924686193
cg20608990,-0.319319044252083,0.575001689436991,-11.2722082201263,1.11123744931681e-26,4.17301941126205e-25,49.321544946175,0.865604992299499,0.546285948047415,-0.319319044252083,2,202097607,F,II,CASP8,TSS1500,opensea,TSS1500-opensea,,,True,,,,-0.3622230196273862,hypo,0.83,0.9484536082474228
cg14894216,-0.247152461584488,0.493700445530405,-10.4044599600612,2.7819597037614e-23,6.70846195983308e-22,41.5595023507125,0.718626966324921,0.471474504740433,-0.247152461584488,11,65794352,R,II,CATSPER1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2803358726261577,hypo,0.64,0.8941684665226782
cg21307628,-0.262000000483609,0.554986385772,-11.5324414815865,9.85882653985103e-28,4.3053978130041e-26,51.7260357450833,0.793425235132983,0.531425234649374,-0.262000000483609,3,112360952,F,II,CCDC80,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2956382767433412,hypo,0.72,0.9374999999999999
cg01387036,-0.254034678666363,0.488365565249947,-12.1241067004997,3.54384988102954e-30,2.237311704132769e-28,57.315810200432,0.719555398712501,0.465520720046137,-0.254034678666364,17,32690255,R,II,CCL1,TSS200,opensea,TSS200-opensea,,,,,,rs41486446,-0.284967865047236,hypo,0.65,0.9374999999999999
cg16764236,-0.241030979022914,0.632592733381698,-9.26337505485524,4.31505139552221e-19,6.5352009269421594e-18,32.0046491523435,0.851948264650752,0.610917285627839,-0.241030979022913,17,32611290,R,II,CCL11,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2760412932035126,hypo,0.85,0.9488752556237219
cg05281206,-0.288751672082234,0.617383947138967,-10.6210870841175,4.0947957649985e-24,1.09385971793741e-22,43.4590772572981,0.880168742235388,0.591417070153154,-0.288751672082234,17,32682770,F,II,CCL13,TSS1500,opensea,TSS1500-opensea,,,True,,,,-0.3331965884703327,hypo,0.81,0.9285714285714286
cg01520122,-0.275885187205427,0.651267631038896,-9.39444220139233,1.4818303597314e-19,2.3605690653910498e-18,33.061910908183,0.90234299925103,0.626457812045602,-0.275885187205427,17,32595801,F,II,CCL7,TSS1500,opensea,TSS1500-opensea,,,,,rs36231836,,-0.3265478224574125,hypo,0.87,0.9198312236286921
cg06083483,-0.276573214868816,0.416606965469173,-11.8029278741014,7.677645386571497e-29,3.94693711759379e-27,54.2607366502393,0.668308488353383,0.391735273484567,-0.276573214868815,17,32646006,R,II,CCL8,TSS200,opensea,TSS200-opensea,,,,,,,-0.2967258148541013,hypo,0.59,0.9243697478991596
cg16993682,-0.267598640154734,0.41441166994049,-10.2475685587719,1.09641815412976e-22,2.46196724169981e-21,40.2002134660682,0.657945684182028,0.390347044027294,-0.267598640154734,1,158259268,F,II,CD1C,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3031874759148475,hypo,0.56,0.8840262582056894
cg13765621,-0.217551224690099,0.385089517904135,-9.55244912176863,4.02822000141465e-20,6.81554533677624e-19,34.350765329146,0.58307678353937,0.36552555884927,-0.2175512246901,1,158149228,F,II,CD1D,TSS1500,shore,TSS1500-shore,chr1:158150620-158151503,,,,,,-0.2382908376192671,hypo,0.5,0.8771929824561403
cg03761113,-0.240609608430993,0.518360879732996,-9.97456298670473,1.15346463319626e-21,2.3056116164475802e-20,37.8686939040308,0.737332933448972,0.496723325017979,-0.240609608430993,1,157811724,F,II,CD5L,TSS200,opensea,TSS200-opensea,,,,,,,-0.2747203414082368,hypo,0.64,0.8791208791208791
cg19718360,-0.231938406433445,0.557932990643086,-9.10942241945389,1.49380034250263e-18,2.13760044827387e-17,30.7767000868745,0.769013626713811,0.537075220280366,-0.231938406433445,1,160550647,R,II,CD84,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.268182425919284,hypo,0.73,0.9087048832271761
cg09857273,-0.276854830505091,0.584478151558129,-10.6520323536092,3.10783321599845e-24,8.42957746953638e-23,43.7325537693052,0.836435964931468,0.559581134426376,-0.276854830505092,8,95230984,R,II,CDH17,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3071614681188065,hypo,0.77,0.9102564102564102
cg00921682,-0.237916706114167,0.539271393029236,-9.63276207309759,2.06567395037227e-20,3.60159831533485e-19,35.0117855169913,0.755792711902921,0.517876005788753,-0.237916706114168,19,42081255,R,II,CEACAM21,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2713315568308782,hypo,0.69,0.8815789473684209
cg14666310,-0.225893994440082,0.578397556033125,-10.1752897298278,2.05284809582199e-22,4.47186866177598e-21,39.5787297886237,0.783977342340106,0.558083347900025,-0.225893994440081,19,42211479,F,II,CEACAM5,TSS1500,opensea,TSS1500-opensea,,,,,rs73932029,,-0.2258939944400808,hypo,0.67,0.8487584650112866
cg18119407,-0.232581039928864,0.462006410371969,-11.3211226085289,7.06620114394989e-27,2.7270621679931e-25,49.7708973287372,0.673671889156151,0.441090849227287,-0.232581039928863,2,201980504,R,II,CFLAR,TSS1500,shore,TSS1500-shore,chr2:201981062-201981689,,,,,,-0.256180092354074,hypo,0.57,0.8984881209503239
cg14909213,-0.230660238244861,0.626556583093221,-8.82063796404288,1.47341359223854e-17,1.90378335096888e-16,28.5146270855146,0.836473994157789,0.605813755912928,-0.230660238244861,12,8694468,R,II,CLEC4E,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2711550117245396,hypo,0.8,0.9175475687103595
cg00374101,-0.229508162810645,0.709104150687243,-8.31458631881221,7.13225503200203e-16,7.798157417793311e-15,24.6845661904739,0.917973090223549,0.688464927412904,-0.229508162810645,8,87878605,F,II,CNBD1,TSS200,opensea,TSS200-opensea,,,,,,,-0.2438488528918767,hypo,0.89,0.9098712446351931
cg02822963,-0.214143809295242,0.43832002825547,-9.22279771730182,5.99454870363019e-19,8.934587358065039e-18,31.6795307379707,0.633206300743586,0.419062491448344,-0.214143809295243,3,149470953,F,II,COMMD2,TSS1500,shore,TSS1500-shore,chr3:149469909-149470388,,,,,,-0.2209933382065811,hypo,0.59,0.9052631578947368
cg15926585,-0.220247697727048,0.683205992506873,-8.70381588555525,3.66273286540986e-17,4.54870239867797e-16,27.6151334169457,0.883647242596595,0.663399544869549,-0.220247697727046,22,19928445,F,II,COMT,TSS1500,shore,TSS1500-shore,chr22:19929096-19929468,,,,rs79019435,,-0.2390315335770799,hypo,0.82,0.8815789473684209
cg26636590,-0.234550465891605,0.666381872822475,-8.19694817351221,1.7148499730854301e-15,1.80806349072225e-14,23.8193236238608,0.879839670918072,0.645289205026467,-0.234550465891604,4,46911374,R,II,COX7B2,TSS200,opensea,TSS200-opensea,,,,,,,-0.2721993087163114,hypo,0.86,0.8965517241379309
cg24168221,-0.224807721756416,0.371013704110402,-10.8523848033676,5.147508470584e-25,1.5420595828763e-23,45.5157732087459,0.575604904126133,0.350797182369717,-0.224807721756416,20,23587099,R,II,CST9,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2526445861818936,hypo,0.54,0.9272349272349273
cg18552413,-0.271369014780436,0.403182200618137,-12.0784014192884,5.5057317173585896e-30,3.37123014441551e-28,56.8781230257276,0.650147527019037,0.378778512238602,-0.271369014780435,1,159174610,R,II,DARC,TSS1500,opensea,TSS1500-opensea,,,,,,rs72547266,-0.3047133667215536,hypo,0.58,0.9308176100628931
cg21263710,-0.27266587222841,0.535439700806892,-11.4974313662391,1.36834466318439e-27,5.85440809750122e-26,51.4005782290755,0.783585260784547,0.510919388556136,-0.272665872228411,18,49865488,F,II,DCC,TSS1500,shelf,TSS1500-shelf,chr18:49868377-49868759,,,,,,-0.285275358343117,hypo,0.7,0.921443736730361
cg01687040,-0.289633222827735,0.617636537855414,-11.0093065510872,1.24044346556898e-25,4.0305841593054e-24,46.9274861855138,0.881223607551158,0.591590384723423,-0.289633222827735,12,55043559,R,II,DCD,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3138449912545882,hypo,0.83,0.9462809917355371
cg00067274,-0.256248793624282,0.46251978826042,-11.6321611029329,3.86272943638727e-28,1.7913931553452598e-26,52.6563518667109,0.695724625623525,0.439475831999243,-0.256248793624282,4,155313256,R,II,DCHS2,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2863324230449638,hypo,0.62,0.9240506329113924
cg19453059,-0.225720975618806,0.638578614982836,-9.40904015013716,1.3146606094250502e-19,2.1066656496518002e-18,33.1803342219062,0.844000941715059,0.618279966096253,-0.225720975618806,20,29955259,R,II,DEFB118,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2462678084411019,hypo,0.8,0.9133192389006343
cg03146196,-0.256095522228851,0.571404835405911,-10.3329734829344,5.20575583602411e-23,1.21460640926039e-21,40.9384176940017,0.804470184772456,0.548374662543604,-0.256095522228852,20,30007925,F,II,DEFB122,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2758756192609701,hypo,0.75,0.9313929313929313
cg13950362,-0.247293297754437,0.471878799541524,-11.8944292784175,3.21214077762894e-29,1.74375674061745e-27,55.1261655071639,0.696933491382792,0.449640193628355,-0.247293297754437,20,30028062,R,II,DEFB123,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2651245914843481,hypo,0.6,0.8989247311827956
cg23781075,-0.219441276249725,0.449009466308155,-10.8735326719381,4.25240702705177e-25,1.28785766028982e-23,45.7052614738523,0.648716814837581,0.429275538587856,-0.219441276249726,20,170581,R,II,DEFB128,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2341019564880735,hypo,0.54,0.8771929824561403
cg00035630,-0.259318468656964,0.523826762515424,-10.068841472879,5.142282959983179e-22,1.07118082002241e-20,38.6689435670767,0.7598252249982,0.500506756341236,-0.259318468656964,11,33036664,R,II,DEPDC7,TSS1500,shore,TSS1500-shore,chr11:33037206-33037917,,,,,,-0.2844758297450963,hypo,0.71,0.9330543933054394
cg04103251,-0.24185743511255,0.521062002948104,-9.76257430948928,6.961362062122741e-21,1.27919660752254e-19,36.0885332149291,0.741169668716001,0.499312233603451,-0.24185743511255,13,19692715,F,II,DKFZp686A1627,TSS1500,opensea,TSS1500-opensea,,,,,rs9507472,,-0.2532173838701109,hypo,0.65,0.8736141906873615
cg00933411,-0.297740929071218,0.417948757364956,-11.4494745355883,2.14186273075133e-27,8.9128953648047e-26,50.9557550940363,0.688914423030489,0.39117349395927,-0.297740929071218,8,13373090,R,II,DLC1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.339542874390886,hypo,0.65,0.9447852760736196
cg19303187,-0.237876791977945,0.39195913754121,-10.6355631442933,3.59940074654254e-24,9.682606777640592e-23,43.5869429065042,0.608444131679411,0.370567339701467,-0.237876791977944,2,172968881,R,II,DLX2,TSS1500,shore,TSS1500-shore,chr2:172964762-172967857,,,,,,-0.2556548205300278,hypo,0.53,0.9106382978723404
cg14091631,-0.223866345772938,0.395925251373251,-11.1980728518223,2.20197645512444e-26,7.938615738381331e-25,48.6428291886304,0.599659731519125,0.375793385746188,-0.223866345772937,1,225117076,R,II,DNAH14,TSS1500,shore,TSS1500-shore,chr1:225117220-225117781,True,,,,,-0.2412279427866024,hypo,0.47,0.8382687927107062
cg17494438,-0.227963310222515,0.509593402520211,-9.51037317265546,5.7068374899803e-20,9.502681352268573e-19,34.0060412265923,0.717056415060846,0.48909310483833,-0.227963310222516,10,50600744,R,II,DRGX,TSS1500,shelf,TSS1500-shelf,chr10:50602989-50606783,,,,,,-0.2389551127902749,hypo,0.64,0.8874458874458875
cg06191348,-0.215382546831171,0.659867616244235,-10.8923103214584,3.58827106464315e-25,1.0977681677434101e-23,45.8737125803442,0.855881229007854,0.640498682176684,-0.21538254683117,17,80024326,R,II,DUS1L,TSS1500,shore,TSS1500-shore,chr17:80022655-80024178,,,,,,-0.2434773656868017,hypo,0.82,0.9311064718162839
cg23214755,-0.278604747237702,0.587420790631439,-9.72598128826545,9.46873706282166e-21,1.71440284277545e-19,35.7839722531269,0.840971154124744,0.562366406887041,-0.278604747237703,2,11607042,F,II,E2F6,TSS1500,shore,TSS1500-shore,chr2:11605743-11606385,,,,,,-0.3263437510920858,hypo,0.81,0.9316770186335402
cg11579116,-0.250176876438208,0.450093094013081,-11.614909994795,4.5440284199531095e-28,2.08397685204006e-26,52.4950616846429,0.677772049908284,0.427595173470077,-0.250176876438208,19,6990919,R,II,EMR4P,TSS200,opensea,TSS200-opensea,,,,,,,-0.2831467838979708,hypo,0.61,0.9313929313929313
cg07100532,-0.226444915842595,0.47355726016241,-8.75451921274114,2.46963397699194e-17,3.11879372378064e-16,28.0044185321647,0.679638424580311,0.453193508737717,-0.226444915842595,18,713085,F,II,ENOSF1,TSS1500,island,TSS1500-island,chr18:712232-713086,,,,,,-0.2492844372658591,hypo,0.57,0.8533333333333334
cg18745416,-0.223997569241799,0.539090743360149,-9.76926207586451,6.58022157657529e-21,1.2117044827290802e-19,36.1442823630352,0.742944646303225,0.518947077061426,-0.223997569241799,6,152011399,F,II,ESR1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2484105245668067,hypo,0.68,0.9063829787234042
cg21243589,-0.241288315209159,0.595535296110837,-10.5702244659291,6.43588577045741e-24,1.67569548499891e-22,43.0107278089729,0.815125021822769,0.57383670661361,-0.241288315209159,2,88428542,R,II,FABP1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2684686035851681,hypo,0.77,0.937759336099585
cg18478850,-0.331640339648561,0.469149387285701,-13.2003933933596,8.51758648556896e-35,1.16142030583671e-32,67.8876863099061,0.770965955383133,0.439325615734571,-0.331640339648561,5,176982070,F,II,FAM193B,TSS1500,shore,TSS1500-shore,chr5:176980789-176981789,,,,,,-0.3705326507431258,hypo,0.68,0.9506172839506173
cg26593521,-0.232167069445694,0.638400614126703,-9.92672944794205,1.7344345114679102e-21,3.40040093484175e-20,37.4646777083104,0.849689349989152,0.617522280543457,-0.232167069445694,5,156594725,R,II,FAM71B,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2605263493929505,hypo,0.83,0.933609958506224
cg10772322,-0.227538984132317,0.621245253472774,-9.63679974877786,1.9972625204241902e-20,3.4879776552603304e-19,35.0451221677484,0.828322098744271,0.600783114611954,-0.227538984132318,19,49116839,F,II,FAM83E,TSS200,shore,TSS200-shore,chr19:49116245-49116641,,,,,,-0.2491243948795898,hypo,0.77,0.9055793991416309
cg14814536,-0.217171466353483,0.544871829384847,-10.4555173034412,1.7751451944790998e-23,4.375121186379779e-22,42.004859543325,0.742513487613016,0.525342021259534,-0.217171466353483,11,22648107,F,II,FANCF,TSS1500,shore,TSS1500-shore,chr11:22646706-22647441,,,,rs45522531,,-0.2315259830302679,hypo,0.66,0.8969957081545065
cg14696870,-0.285640745827359,0.608214180071645,-9.44226705578048,1.00063933609125e-19,1.6219109066532001e-18,33.4503779667665,0.868167808468486,0.582527062641127,-0.285640745827359,1,159258877,R,II,FCER1A,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3339974947898506,hypo,0.84,0.9266247379454926
cg08786003,-0.317360997204863,0.582503077042274,-10.2753566415147,8.60829201182029e-23,1.95797007031853e-21,40.4399450744323,0.871324416225117,0.553963419020254,-0.317360997204863,1,157670710,R,II,FCRL3,TSS200,opensea,TSS200-opensea,,,,,,,-0.3690294710679975,hypo,0.86,0.9508196721311476
cg01593385,-0.260176627092391,0.491730000452427,-10.7732805904066,1.0495666373839501e-24,3.02198237270037e-23,44.8091161473349,0.728509448849459,0.468332821757068,-0.260176627092392,4,155534149,R,II,FGG,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2855170161501994,hypo,0.69,0.9465020576131686
cg02228042,-0.226462146410564,0.55380907576128,-10.6319977033085,3.71559202382764e-24,9.979469531834641e-23,43.5554390207275,0.759905921235642,0.533443774825078,-0.226462146410564,7,105603432,R,II,FLJ23834,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2430699401773103,hypo,0.67,0.8965517241379309
cg04744713,-0.309883228426307,0.528988518783915,-10.0456627037164,6.27508752938812e-22,1.2931905253319401e-20,38.4717154517337,0.811004550409295,0.501121321982988,-0.309883228426307,8,142517440,R,II,FLJ43860,TSS200,opensea,TSS200-opensea,,,,,,,-0.3382825507151029,hypo,0.73,0.8913043478260869
cg04720596,-0.217619709227111,0.555207158717545,-10.131780963433,2.99018429442909e-22,6.40215287966363e-21,39.206076414496,0.753256750208406,0.535637040981294,-0.217619709227112,19,4304173,R,II,FSD1,TSS1500,shore,TSS1500-shore,chr19:4304542-4305122,,,,,,-0.2616692480084628,hypo,0.74,0.9445585215605748
cg02244933,-0.218740915447792,0.566519789452518,-9.64305563769507,1.89567808592746e-20,3.31951021372343e-19,35.0967929336506,0.765589759266515,0.546848843818723,-0.218740915447792,16,71324066,F,II,FTSJD1,TSS1500,shore,TSS1500-shore,chr16:71323115-71323514,,,,rs76539881,,-0.22994740570647,hypo,0.71,0.9094736842105263
cg05618183,-0.226144799952718,0.431469155183017,-10.3014160918268,6.85838888043376e-23,1.57682588080644e-21,40.6651644235423,0.637277192550059,0.411132392597341,-0.226144799952718,16,31190476,F,II,FUS,TSS1500,shore,TSS1500-shore,chr16:31190820-31192225,,,,,rs77688126,-0.2391373389750933,hypo,0.55,0.8850325379609545
